Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       20.00% |       61.90% |       1.2072 |       0.9227 |          0.0010 |
|       5 |          50 |       00:00:25 |      100.00% |       80.95% |       0.0623 |       0.3882 |          0.0010 |
|      10 |         100 |       00:00:50 |      100.00% |       95.24% |       0.0033 |       0.1639 |          0.0010 |
|      14 |         150 |       00:01:15 |      100.00% |       95.24% |       0.0235 |       0.1219 |          0.0001 |
|      19 |         200 |       00:01:40 |      100.00% |      100.00% |       0.0080 |       0.1178 |          0.0001 |
|      23 |         250 |       00:02:04 |      100.00% |      100.00% |       0.0942 |       0.1049 |      1.0000e-05 |
|      28 |         300 |       00:02:29 |      100.00% |      100.00% |       0.0593 |       0.0960 |      1.0000e-05 |
|      32 |         350 |       00:02:53 |       90.00% |      100.00% |       0.1088 |       0.0959 |      1.0000e-06 |
|      37 |         400 |       00:03:17 |      100.00% |      100.00% |       0.0404 |       0.1008 |      1.0000e-06 |
|      41 |         450 |       00:03:42 |      100.00% |      100.00% |       0.0151 |       0.1095 |      1.0000e-07 |
|      46 |         500 |       00:04:07 |      100.00% |      100.00% |       0.0566 |       0.0987 |      1.0000e-07 |
|      50 |         550 |       00:04:31 |      100.00% |      100.00% |       0.0296 |       0.0991 |      1.0000e-07 |
|      55 |         600 |       00:04:55 |      100.00% |      100.00% |       0.0381 |       0.0991 |      1.0000e-08 |
|      60 |         650 |       00:05:20 |      100.00% |      100.00% |       0.0132 |       0.1040 |      1.0000e-08 |
|      64 |         700 |       00:05:45 |      100.00% |       95.24% |       0.0078 |       0.2773 |      1.0000e-09 |
|      69 |         750 |       00:06:09 |       90.00% |       95.24% |       0.1653 |       0.2773 |      1.0000e-09 |
|      73 |         800 |       00:06:34 |      100.00% |      100.00% |       0.0153 |       0.0989 |      1.0000e-10 |
|      78 |         850 |       00:06:59 |      100.00% |      100.00% |       0.0168 |       0.1040 |      1.0000e-10 |
|      82 |         900 |       00:07:23 |      100.00% |      100.00% |       0.0172 |       0.0991 |      1.0000e-11 |
|      87 |         950 |       00:07:48 |      100.00% |      100.00% |       0.0078 |       0.0992 |      1.0000e-11 |
|      91 |        1000 |       00:08:13 |      100.00% |      100.00% |       0.0109 |       0.1240 |      1.0000e-12 |
|      96 |        1050 |       00:08:38 |      100.00% |      100.00% |       0.0031 |       0.1040 |      1.0000e-12 |
|     100 |        1100 |       00:09:03 |      100.00% |       95.24% |       0.0166 |       0.2773 |      1.0000e-12 |
|======================================================================================================================|
