Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |       19.05% |       1.8373 |       1.7626 |          0.0010 |
|       5 |          50 |       00:00:24 |       50.00% |       38.10% |       1.4346 |       1.7389 |          0.0010 |
|      10 |         100 |       00:00:47 |       50.00% |       47.62% |       1.2478 |       1.4562 |          0.0010 |
|      14 |         150 |       00:01:10 |       50.00% |       52.38% |       1.4387 |       1.3655 |          0.0001 |
|      19 |         200 |       00:01:33 |       70.00% |       52.38% |       0.8021 |       1.2839 |          0.0001 |
|      23 |         250 |       00:01:56 |       60.00% |       52.38% |       1.3537 |       1.1813 |      1.0000e-05 |
|      28 |         300 |       00:02:19 |       40.00% |       57.14% |       1.4966 |       1.1940 |      1.0000e-05 |
|      32 |         350 |       00:02:43 |       30.00% |       52.38% |       1.2967 |       1.1827 |      1.0000e-06 |
|      37 |         400 |       00:03:06 |       80.00% |       47.62% |       0.8300 |       1.3621 |      1.0000e-06 |
|      41 |         450 |       00:03:30 |       60.00% |       52.38% |       1.0334 |       1.1825 |      1.0000e-07 |
|      46 |         500 |       00:03:54 |       80.00% |       52.38% |       0.9517 |       1.2541 |      1.0000e-07 |
|      50 |         550 |       00:04:18 |       60.00% |       52.38% |       0.8828 |       1.2800 |      1.0000e-07 |
|      55 |         600 |       00:04:41 |       60.00% |       52.38% |       0.8968 |       1.2596 |      1.0000e-08 |
|      60 |         650 |       00:05:05 |       60.00% |       52.38% |       0.9876 |       1.3211 |      1.0000e-08 |
|      64 |         700 |       00:05:28 |       90.00% |       47.62% |       0.5538 |       1.3005 |      1.0000e-09 |
|      69 |         750 |       00:05:52 |       70.00% |       52.38% |       0.7679 |       1.3211 |      1.0000e-09 |
|      73 |         800 |       00:06:16 |       70.00% |       52.38% |       1.0852 |       1.4089 |      1.0000e-10 |
|      78 |         850 |       00:06:40 |      100.00% |       57.14% |       0.6020 |       1.3332 |      1.0000e-10 |
|      82 |         900 |       00:07:03 |       70.00% |       52.38% |       0.9365 |       1.1824 |      1.0000e-11 |
|      87 |         950 |       00:07:27 |       40.00% |       52.38% |       0.9871 |       1.3274 |      1.0000e-11 |
|      91 |        1000 |       00:07:51 |       70.00% |       52.38% |       0.9665 |       1.4180 |      1.0000e-12 |
|      96 |        1050 |       00:08:15 |       30.00% |       52.38% |       1.5836 |       1.3346 |      1.0000e-12 |
|     100 |        1100 |       00:08:39 |       50.00% |       52.38% |       0.9808 |       1.1824 |      1.0000e-12 |
|======================================================================================================================|
