Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |       19.05% |       1.7673 |       1.8409 |          0.0010 |
|       5 |          50 |       00:00:25 |       60.00% |       71.43% |       1.1806 |       1.1783 |          0.0010 |
|      10 |         100 |       00:00:49 |       50.00% |       85.71% |       1.3891 |       0.8323 |          0.0010 |
|      14 |         150 |       00:01:11 |       70.00% |       76.19% |       1.1453 |       0.9559 |          0.0001 |
|      19 |         200 |       00:01:34 |       60.00% |       90.48% |       1.1398 |       0.5833 |          0.0001 |
|      23 |         250 |       00:01:57 |       50.00% |       80.95% |       0.8708 |       0.7265 |      1.0000e-05 |
|      28 |         300 |       00:02:21 |       70.00% |       85.71% |       1.0855 |       0.6057 |      1.0000e-05 |
|      32 |         350 |       00:02:44 |       70.00% |       95.24% |       0.8971 |       0.5709 |      1.0000e-06 |
|      37 |         400 |       00:03:07 |       70.00% |       85.71% |       0.8726 |       0.6798 |      1.0000e-06 |
|      41 |         450 |       00:03:30 |       60.00% |       90.48% |       0.9066 |       0.5727 |      1.0000e-07 |
|      46 |         500 |       00:03:53 |       60.00% |       90.48% |       0.8420 |       0.6007 |      1.0000e-07 |
|      50 |         550 |       00:04:16 |       60.00% |       85.71% |       0.9509 |       0.6489 |      1.0000e-07 |
|      55 |         600 |       00:04:40 |       80.00% |       85.71% |       0.7931 |       0.6281 |      1.0000e-08 |
|      60 |         650 |       00:05:03 |       60.00% |       90.48% |       1.3521 |       0.6239 |      1.0000e-08 |
|      64 |         700 |       00:05:26 |       80.00% |       90.48% |       0.8365 |       0.7213 |      1.0000e-09 |
|      69 |         750 |       00:05:49 |       50.00% |       85.71% |       1.0575 |       0.6489 |      1.0000e-09 |
|      73 |         800 |       00:06:12 |       60.00% |       90.48% |       1.2515 |       0.6032 |      1.0000e-10 |
|      78 |         850 |       00:06:35 |       50.00% |       85.71% |       0.8352 |       0.7774 |      1.0000e-10 |
|      82 |         900 |       00:06:58 |       50.00% |       85.71% |       0.9519 |       0.6524 |      1.0000e-11 |
|      87 |         950 |       00:07:21 |       60.00% |       80.95% |       0.9558 |       0.7483 |      1.0000e-11 |
|      91 |        1000 |       00:07:44 |       70.00% |       90.48% |       1.0489 |       0.6239 |      1.0000e-12 |
|      96 |        1050 |       00:08:08 |       80.00% |       85.71% |       0.6426 |       0.6567 |      1.0000e-12 |
|     100 |        1100 |       00:08:31 |       70.00% |       90.48% |       0.7786 |       0.6116 |      1.0000e-12 |
|======================================================================================================================|
