Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,1,,,,,48.00%,33.33%,1.40056,1.46362,,0.228035085,0.106481562,0.267364345,0.146281482
,,,,,,,,,,,,,,
20.00%,28.57%,1.4998,1.5072,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,38.10%,1.2076,1.5539,,,,,,,,,,,
,,,,,,,,,,,,,,
50.00%,33.33%,1.3363,1.2942,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,19.05%,1.1462,1.6334,,,,,,,,,,,
,,,,,,,,,,,,,,
30.00%,47.62%,1.8129,1.3294,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,2,,,,,64.00%,43.81%,0.99294,1.52114,,0.089442719,0.09759001,0.113340364,0.219623378
,,,,,,,,,,,,,,
70.00%,28.57%,0.8466,1.6575,,,,,,,,,,,
,,,,,,,,,,,,,,
50.00%,52.38%,0.9808,1.1824,,,,,,,,,,,
,,,,,,,,,,,,,,
60.00%,42.86%,1.0287,1.5032,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,42.86%,1.1568,1.7636,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,52.38%,0.9518,1.499,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,3,,,,,62.00%,49.52%,0.99748,1.30542,,0.277488739,0.160076585,0.523737723,0.339079116
,,,,,,,,,,,,,,
90.00%,57.14%,0.5247,0.8966,,,,,,,,,,,
,,,,,,,,,,,,,,
20.00%,66.67%,1.6941,1.3937,,,,,,,,,,,
,,,,,,,,,,,,,,
50.00%,52.38%,1.4194,1.1889,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,47.62%,0.6439,1.2274,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,23.81%,0.7053,1.8205,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,4,,,,,74.00%,56.19%,0.70902,1.24516,,0.114017543,0.200345282,0.180472649,0.406269452
,,,,,,,,,,,,,,
60.00%,52.38%,0.8423,1.3986,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,38.10%,0.8791,1.721,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,52.38%,0.4547,1.1808,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,90.48%,0.7786,0.6116,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,47.62%,0.5904,1.3138,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,5,,,,,76.00%,60.00%,0.6072,1.09722,,0.114017543,0.11950892,0.206718976,0.311762565
,,,,,,,,,,,,,,
80.00%,61.90%,0.5226,0.9124,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,76.19%,0.6011,1.0505,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,61.90%,0.707,1.0693,,,,,,,,,,,
,,,,,,,,,,,,,,
60.00%,57.14%,0.8799,0.8282,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,42.86%,0.3254,1.6257,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,6,,,,,88.00%,52.38%,0.50692,1.30398,,0.083666003,0.0952,0.179869111,0.333282136
,,,,,,,,,,,,,,
90.00%,57.14%,0.3914,1.0296,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,61.90%,0.257,0.974,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,47.62%,0.5509,1.2492,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,57.14%,0.6691,1.4923,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,38.10%,0.6662,1.7748,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,7,,,,,82.00%,53.33%,0.69758,1.24462,,0.04472136,0.108575402,0.150853363,0.243033891
,,,,,,,,,,,,,,
80.00%,57.14%,0.7958,1.137,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,47.62%,0.5172,1.3158,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,57.14%,0.9011,1.1754,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,38.10%,0.6315,1.6209,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,66.67%,0.6423,0.974,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,8,,,,,82.00%,60.95%,0.62752,1.2009,,0.130384048,0.123261701,0.260519859,0.307337778
,,,,,,,,,,,,,,
90.00%,71.43%,0.4991,0.7769,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,47.62%,0.4392,1.5902,,,,,,,,,,,
