Accuracy,Accuracy Validation,Loss,Loss Validation
Number Of features = ,1
70.00%,80.95%,0.8937,0.5071
80.00%,52.38%,0.6469,0.8451
50.00%,71.43%,0.8401,0.5219
70.00%,61.90%,0.5501,1.0269
70.00%,52.38%,0.5927,0.9264
Number Of features = ,2
70.00%,66.67%,0.7106,0.8336
70.00%,80.95%,0.8882,0.5009
80.00%,71.43%,0.4310,0.9193
90.00%,71.43%,0.4189,0.7330
70.00%,61.90%,0.7508,0.7361
Number Of features = ,3
90.00%,61.90%,0.3852,1.2310
90.00%,80.95%,0.2214,0.5026
90.00%,66.67%,0.4105,0.8468
60.00%,90.48%,0.5493,0.4589
90.00%,85.71%,0.2963,0.5054
Number Of features = ,4
80.00%,57.14%,0.6184,1.0968
70.00%,90.48%,0.5786,0.4215
70.00%,85.71%,0.5475,0.2997
90.00%,71.43%,0.2883,0.5979
90.00%,80.95%,0.4844,0.4827
Number Of features = ,5
80.00%,76.19%,0.4591,0.4588
90.00%,66.67%,0.4006,1.1673
100.00%,80.95%,0.1070,0.4359
80.00%,66.67%,0.3871,0.8230
70.00%,85.71%,0.5655,0.4146
Number Of features = ,6
90.00%,85.71%,0.2897,0.4692
100.00%,80.95%,0.1106,0.6110
80.00%,85.71%,0.5224,0.3956
60.00%,85.71%,0.8710,0.4383
80.00%,80.95%,0.4231,0.7110
Number Of features = ,7
100.00%,71.43%,0.0640,0.9429
80.00%,100.00%,0.4127,0.2048
90.00%,66.67%,0.3446,0.7965
100.00%,76.19%,0.0754,0.5918
100.00%,80.95%,0.1014,0.4724
Number Of features = ,8
90.00%,76.19%,0.3176,0.7909
90.00%,76.19%,0.2913,0.5796
100.00%,90.48%,0.1326,0.4372
100.00%,80.95%,0.1038,0.6578
100.00%,85.71%,0.0702,0.4845
Number Of features = ,9
100.00%,61.90%,0.0599,1.0238
100.00%,85.71%,0.0421,0.4721
90.00%,85.71%,0.1753,0.5223
90.00%,80.95%,0.2353,0.5710
100.00%,90.48%,0.1468,0.2785
Number Of features = ,10
90.00%,95.24%,0.1187,0.2058
100.00%,85.71%,0.0644,0.4621
100.00%,85.71%,0.0378,0.5415
100.00%,85.71%,0.0238,0.5539
100.00%,85.71%,0.0423,0.4199
Number Of features = ,11
100.00%,90.48%,0.1017,0.6664
90.00%,71.43%,0.2916,0.9951
100.00%,85.71%,0.0923,0.4249
90.00%,90.48%,0.1913,0.3003
100.00%,66.67%,0.0705,0.9900
