Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       80.00% |       52.38% |       0.6255 |       0.6964 |          0.0010 |
|       5 |          50 |       00:00:26 |       80.00% |       66.67% |       0.5348 |       0.6692 |          0.0010 |
|      10 |         100 |       00:00:51 |       90.00% |       71.43% |       0.2308 |       0.7421 |          0.0010 |
|      14 |         150 |       00:01:17 |       80.00% |       76.19% |       0.2894 |       0.7353 |          0.0001 |
|      19 |         200 |       00:01:42 |       80.00% |       80.95% |       0.4430 |       0.6459 |          0.0001 |
|      23 |         250 |       00:02:08 |       70.00% |       76.19% |       0.4557 |       0.7336 |      1.0000e-05 |
|      28 |         300 |       00:02:33 |       80.00% |       80.95% |       0.4467 |       0.7443 |      1.0000e-05 |
|      32 |         350 |       00:02:58 |       90.00% |       85.71% |       0.1742 |       0.6258 |      1.0000e-06 |
|      37 |         400 |       00:03:24 |      100.00% |       85.71% |       0.1802 |       0.6324 |      1.0000e-06 |
|      41 |         450 |       00:03:49 |       90.00% |       80.95% |       0.2644 |       0.8591 |      1.0000e-07 |
|      46 |         500 |       00:04:15 |       90.00% |       85.71% |       0.2015 |       0.6433 |      1.0000e-07 |
|      50 |         550 |       00:04:40 |       80.00% |       76.19% |       0.3186 |       0.7936 |      1.0000e-07 |
|      55 |         600 |       00:05:06 |      100.00% |       80.95% |       0.0624 |       0.7173 |      1.0000e-08 |
|      60 |         650 |       00:05:31 |       90.00% |       85.71% |       0.1971 |       0.6299 |      1.0000e-08 |
|      64 |         700 |       00:05:57 |      100.00% |       85.71% |       0.0770 |       0.6481 |      1.0000e-09 |
|      69 |         750 |       00:06:22 |      100.00% |       80.95% |       0.1244 |       0.7238 |      1.0000e-09 |
|      73 |         800 |       00:06:48 |      100.00% |       80.95% |       0.1241 |       0.7259 |      1.0000e-10 |
|      78 |         850 |       00:07:14 |      100.00% |       76.19% |       0.0702 |       0.8324 |      1.0000e-10 |
|      82 |         900 |       00:07:39 |       90.00% |       85.71% |       0.2791 |       0.6481 |      1.0000e-11 |
|      87 |         950 |       00:08:05 |      100.00% |       85.71% |       0.1068 |       0.6386 |      1.0000e-11 |
|      91 |        1000 |       00:08:30 |       90.00% |       85.71% |       0.2594 |       0.6481 |      1.0000e-12 |
|      96 |        1050 |       00:08:55 |       90.00% |       85.71% |       0.2989 |       0.6386 |      1.0000e-12 |
|     100 |        1100 |       00:09:21 |       90.00% |       85.71% |       0.1816 |       0.7572 |      1.0000e-12 |
|======================================================================================================================|
