Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       38.10% |       0.6723 |       0.7274 |          0.0010 |
|       5 |          50 |       00:00:26 |       40.00% |       61.90% |       1.0587 |       0.6625 |          0.0010 |
|      10 |         100 |       00:00:51 |      100.00% |       71.43% |       0.1887 |       0.6563 |          0.0010 |
|      14 |         150 |       00:01:16 |       90.00% |       76.19% |       0.2953 |       0.5175 |          0.0001 |
|      19 |         200 |       00:01:41 |       90.00% |       76.19% |       0.2991 |       0.5452 |          0.0001 |
|      23 |         250 |       00:02:06 |      100.00% |       85.71% |       0.0641 |       0.5173 |      1.0000e-05 |
|      28 |         300 |       00:02:30 |      100.00% |       76.19% |       0.1529 |       0.5644 |      1.0000e-05 |
|      32 |         350 |       00:02:56 |      100.00% |       76.19% |       0.0541 |       0.5516 |      1.0000e-06 |
|      37 |         400 |       00:03:21 |       90.00% |       76.19% |       0.3061 |       0.5512 |      1.0000e-06 |
|      41 |         450 |       00:03:46 |       90.00% |       76.19% |       0.1358 |       0.5506 |      1.0000e-07 |
|      46 |         500 |       00:04:11 |       90.00% |       76.19% |       0.3896 |       0.5497 |      1.0000e-07 |
|      50 |         550 |       00:04:36 |      100.00% |       76.19% |       0.1364 |       0.5614 |      1.0000e-07 |
|      55 |         600 |       00:05:01 |       90.00% |       76.19% |       0.2392 |       0.5498 |      1.0000e-08 |
|      60 |         650 |       00:05:26 |       90.00% |       76.19% |       0.3673 |       0.6446 |      1.0000e-08 |
|      64 |         700 |       00:05:52 |      100.00% |       76.19% |       0.1014 |       0.5498 |      1.0000e-09 |
|      69 |         750 |       00:06:17 |       90.00% |       76.19% |       0.1370 |       0.5503 |      1.0000e-09 |
|      73 |         800 |       00:06:42 |       90.00% |       76.19% |       0.1114 |       0.5614 |      1.0000e-10 |
|      78 |         850 |       00:07:08 |      100.00% |       76.19% |       0.1271 |       0.5601 |      1.0000e-10 |
|      82 |         900 |       00:07:33 |       90.00% |       76.19% |       0.2310 |       0.5510 |      1.0000e-11 |
|      87 |         950 |       00:07:59 |       90.00% |       76.19% |       0.1479 |       0.5531 |      1.0000e-11 |
|      91 |        1000 |       00:08:24 |       80.00% |       76.19% |       0.2955 |       0.5499 |      1.0000e-12 |
|      96 |        1050 |       00:08:49 |      100.00% |       76.19% |       0.0622 |       0.5481 |      1.0000e-12 |
|     100 |        1100 |       00:09:14 |       90.00% |       76.19% |       0.3338 |       0.5513 |      1.0000e-12 |
|======================================================================================================================|
