Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,1,,,,,62.00%,60.95%,0.63684,0.67474,,0.130384048,0.108581983,0.050580065,0.033194397
,,,,,,,,,,,,,,
60.00%,61.90%,0.5799,0.6838,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,66.67%,0.6447,0.6798,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,42.86%,0.6364,0.7004,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,71.43%,0.6082,0.6171,,,,,,,,,,,
,,,,,,,,,,,,,,
40.00%,61.90%,0.715,0.6926,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,2,,,,,86.00%,67.62%,0.35564,0.56662,,0.089442719,0.118565214,0.126677989,0.148725677
,,,,,,,,,,,,,,
100.00%,71.43%,0.3208,0.481,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,76.19%,0.1867,0.5241,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,47.62%,0.3066,0.8206,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,66.67%,0.4761,0.5625,,,,,,,,,,,
,,,,,,,,,,,,,,
80.00%,76.19%,0.488,0.4449,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,3,,,,,72.00%,70.48%,0.49028,0.63012,,0.109544512,0.09158383,0.108054648,0.108094066
,,,,,,,,,,,,,,
60.00%,85.71%,0.6096,0.5985,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,66.67%,0.4923,0.7617,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,71.43%,0.447,0.5718,,,,,,,,,,,
,,,,,,,,,,,,,,
70.00%,66.67%,0.5686,0.4994,,,,,,,,,,,
,,,,,,,,,,,,,,
90.00%,61.90%,0.3339,0.7192,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,4,,,,,78.00%,67.62%,0.4997,0.69176,,0.178885438,0.113691614,0.186981082,0.300049084
,,,,,,,,,,,,,,
50.00%,61.90%,0.8252,0.6005,,,,,,,,,,,
,,,,,,,,,,,,,,
