Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.1301 |       2.0553 |          0.0010 |
|       5 |          18 |       00:00:02 |       66.67% |       50.00% |       1.3797 |       2.2033 |          0.0010 |
|       9 |          36 |       00:00:04 |       22.22% |       25.00% |       2.0314 |       2.3932 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.4239 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       44.44% |       75.00% |       1.0192 |       0.8897 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       75.00% |       0.4830 |       0.9040 |          0.0001 |
|      23 |          90 |       00:00:08 |      100.00% |       75.00% |       0.4313 |       0.8903 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       88.89% |              |       0.6143 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       88.89% |       75.00% |       0.7338 |       0.8969 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       77.78% |       75.00% |       0.5449 |       0.9078 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       66.67% |       75.00% |       0.6777 |       0.8991 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |       88.89% |              |       0.4821 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       88.89% |       75.00% |       0.6275 |       0.8945 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       88.89% |       75.00% |       0.4037 |       0.8941 |      1.0000e-07 |
|      50 |         198 |       00:00:18 |       77.78% |       75.00% |       0.5308 |       0.8939 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |       88.89% |              |       0.5045 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |      100.00% |       75.00% |       0.2230 |       0.8938 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |       88.89% |       75.00% |       0.6329 |       0.8938 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       88.89% |              |       0.5606 |              |      1.0000e-09 |
|      63 |         252 |       00:00:23 |      100.00% |       75.00% |       0.3806 |       0.8938 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |       77.78% |       75.00% |       0.7361 |       0.8938 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |       88.89% |       75.00% |       0.3978 |       0.8938 |      1.0000e-10 |
|      75 |         300 |       00:00:27 |       88.89% |              |       0.5271 |              |      1.0000e-10 |
|      77 |         306 |       00:00:28 |       77.78% |       75.00% |       0.4965 |       0.8938 |      1.0000e-10 |
|      81 |         324 |       00:00:30 |      100.00% |       75.00% |       0.3071 |       0.8938 |      1.0000e-11 |
|      86 |         342 |       00:00:31 |      100.00% |       75.00% |       0.5514 |       0.8938 |      1.0000e-11 |
|      88 |         350 |       00:00:32 |      100.00% |              |       0.3888 |              |      1.0000e-11 |
|      90 |         360 |       00:00:33 |       77.78% |       75.00% |       0.7422 |       0.8938 |      1.0000e-11 |
|      95 |         378 |       00:00:35 |       77.78% |       75.00% |       0.5853 |       0.8938 |      1.0000e-12 |
|      99 |         396 |       00:00:36 |       77.78% |       75.00% |       0.6148 |       0.8938 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |       55.56% |       75.00% |       1.2236 |       0.8938 |      1.0000e-12 |
|======================================================================================================================|
