Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       22.22% |       50.00% |       2.1586 |       1.8188 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |       25.00% |       1.6004 |       1.8235 |          0.0010 |
|       9 |          36 |       00:00:03 |       77.78% |       25.00% |       0.9740 |       1.3776 |          0.0010 |
|      13 |          50 |       00:00:05 |       77.78% |              |       0.9394 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       66.67% |       25.00% |       0.7167 |       1.3693 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       25.00% |       0.5878 |       1.2752 |          0.0001 |
|      23 |          90 |       00:00:08 |       77.78% |       25.00% |       0.6172 |       1.2231 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |      100.00% |              |       0.4026 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |      100.00% |       25.00% |       0.4036 |       1.2077 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |      100.00% |       25.00% |       0.4264 |       1.2161 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       88.89% |       25.00% |       0.6514 |       1.2137 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |       88.89% |              |       0.6803 |              |      1.0000e-06 |
|      41 |         162 |       00:00:14 |       77.78% |       25.00% |       0.6973 |       1.2108 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       88.89% |       25.00% |       0.4201 |       1.2106 |      1.0000e-07 |
|      50 |         198 |       00:00:17 |       88.89% |       25.00% |       0.4644 |       1.2104 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |       88.89% |              |       0.7324 |              |      1.0000e-07 |
|      54 |         216 |       00:00:19 |      100.00% |       25.00% |       0.3025 |       1.2103 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |      100.00% |       25.00% |       0.3836 |       1.2103 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |       88.89% |              |       0.8236 |              |      1.0000e-09 |
|      63 |         252 |       00:00:22 |       77.78% |       25.00% |       0.6888 |       1.2102 |      1.0000e-09 |
|      68 |         270 |       00:00:24 |      100.00% |       25.00% |       0.5361 |       1.2102 |      1.0000e-09 |
|      72 |         288 |       00:00:25 |      100.00% |       25.00% |       0.3347 |       1.2102 |      1.0000e-10 |
|      75 |         300 |       00:00:26 |      100.00% |              |       0.3295 |              |      1.0000e-10 |
|      77 |         306 |       00:00:27 |      100.00% |       25.00% |       0.4104 |       1.2102 |      1.0000e-10 |
|      81 |         324 |       00:00:28 |       88.89% |       25.00% |       0.4041 |       1.2102 |      1.0000e-11 |
|      86 |         342 |       00:00:30 |       88.89% |       25.00% |       0.5453 |       1.2102 |      1.0000e-11 |
|      88 |         350 |       00:00:30 |       88.89% |              |       0.5360 |              |      1.0000e-11 |
|      90 |         360 |       00:00:31 |       77.78% |       25.00% |       0.6634 |       1.2102 |      1.0000e-11 |
|      95 |         378 |       00:00:33 |       88.89% |       25.00% |       0.5521 |       1.2102 |      1.0000e-12 |
|      99 |         396 |       00:00:34 |       88.89% |       25.00% |       0.4365 |       1.2102 |      1.0000e-12 |
|     100 |         400 |       00:00:35 |       77.78% |       25.00% |       0.4506 |       1.2102 |      1.0000e-12 |
|======================================================================================================================|
