Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.1181 |       1.9308 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |       25.00% |       1.4445 |       1.8206 |          0.0010 |
|       9 |          36 |       00:00:03 |       88.89% |      100.00% |       0.7773 |       0.6463 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.4831 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |      100.00% |       0.3697 |       0.5199 |          0.0001 |
|      18 |          72 |       00:00:06 |      100.00% |      100.00% |       0.4110 |       0.4303 |          0.0001 |
|      23 |          90 |       00:00:08 |      100.00% |      100.00% |       0.1743 |       0.3909 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |      100.00% |              |       0.1458 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |      100.00% |      100.00% |       0.3695 |       0.3861 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |      100.00% |      100.00% |       0.3140 |       0.3809 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |      100.00% |      100.00% |       0.4277 |       0.3808 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |       88.89% |              |       0.2761 |              |      1.0000e-06 |
|      41 |         162 |       00:00:14 |      100.00% |      100.00% |       0.1841 |       0.3806 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |      100.00% |      100.00% |       0.2610 |       0.3806 |      1.0000e-07 |
|      50 |         198 |       00:00:17 |       88.89% |      100.00% |       0.3907 |       0.3805 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |      100.00% |              |       0.3042 |              |      1.0000e-07 |
|      54 |         216 |       00:00:19 |      100.00% |      100.00% |       0.1536 |       0.3805 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |      100.00% |      100.00% |       0.4363 |       0.3805 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |      100.00% |              |       0.2899 |              |      1.0000e-09 |
|      63 |         252 |       00:00:22 |      100.00% |      100.00% |       0.2803 |       0.3805 |      1.0000e-09 |
|      68 |         270 |       00:00:24 |       77.78% |      100.00% |       0.6500 |       0.3805 |      1.0000e-09 |
|      72 |         288 |       00:00:25 |       88.89% |      100.00% |       0.5580 |       0.3805 |      1.0000e-10 |
|      75 |         300 |       00:00:26 |       88.89% |              |       0.3896 |              |      1.0000e-10 |
|      77 |         306 |       00:00:27 |       77.78% |      100.00% |       0.4639 |       0.3805 |      1.0000e-10 |
|      81 |         324 |       00:00:28 |      100.00% |      100.00% |       0.3442 |       0.3805 |      1.0000e-11 |
|      86 |         342 |       00:00:30 |      100.00% |      100.00% |       0.2593 |       0.3805 |      1.0000e-11 |
|      88 |         350 |       00:00:31 |      100.00% |              |       0.3634 |              |      1.0000e-11 |
|      90 |         360 |       00:00:32 |      100.00% |      100.00% |       0.2814 |       0.3805 |      1.0000e-11 |
|      95 |         378 |       00:00:33 |       88.89% |      100.00% |       0.5789 |       0.3805 |      1.0000e-12 |
|      99 |         396 |       00:00:35 |       77.78% |      100.00% |       0.5586 |       0.3805 |      1.0000e-12 |
|     100 |         400 |       00:00:35 |      100.00% |      100.00% |       0.3032 |       0.3805 |      1.0000e-12 |
|======================================================================================================================|
