Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        9.09% |        0.00% |       3.0828 |       2.8401 |          0.0010 |
|       6 |          22 |       00:00:08 |       54.55% |       20.00% |       2.0437 |       2.6620 |          0.0010 |
|      11 |          44 |       00:00:16 |       90.91% |       40.00% |       1.3348 |       2.1773 |          0.0001 |
|      13 |          50 |       00:00:18 |      100.00% |              |       1.0779 |              |          0.0001 |
|      17 |          66 |       00:00:24 |       81.82% |       50.00% |       1.0339 |       2.1010 |          0.0001 |
|      22 |          88 |       00:00:31 |       72.73% |       50.00% |       1.1815 |       2.0522 |      1.0000e-05 |
|      25 |         100 |       00:00:36 |      100.00% |              |       1.3605 |              |      1.0000e-05 |
|      28 |         110 |       00:00:39 |       90.91% |       50.00% |       1.0108 |       2.0428 |      1.0000e-05 |
|      33 |         132 |       00:00:47 |       90.91% |       50.00% |       0.9306 |       2.0377 |      1.0000e-06 |
|      38 |         150 |       00:00:53 |       90.91% |              |       1.1588 |              |      1.0000e-06 |
|      39 |         154 |       00:00:55 |       63.64% |       50.00% |       1.3891 |       2.0370 |      1.0000e-06 |
|      44 |         176 |       00:01:03 |       81.82% |       50.00% |       0.9324 |       2.0368 |      1.0000e-07 |
|      50 |         198 |       00:01:10 |       90.91% |       50.00% |       1.0811 |       2.0367 |      1.0000e-07 |
|      50 |         200 |       00:01:11 |       90.91% |              |       1.3413 |              |      1.0000e-07 |
|      55 |         220 |       00:01:18 |       72.73% |       50.00% |       1.2033 |       2.0367 |      1.0000e-08 |
|      61 |         242 |       00:01:26 |       90.91% |       50.00% |       1.1876 |       2.0367 |      1.0000e-09 |
|      63 |         250 |       00:01:28 |       90.91% |              |       0.8831 |              |      1.0000e-09 |
|      66 |         264 |       00:01:33 |       81.82% |       50.00% |       1.0640 |       2.0367 |      1.0000e-09 |
|      72 |         286 |       00:01:41 |       90.91% |       50.00% |       0.8873 |       2.0367 |      1.0000e-10 |
|      75 |         300 |       00:01:46 |       63.64% |              |       1.3842 |              |      1.0000e-10 |
|      77 |         308 |       00:01:49 |       81.82% |       50.00% |       1.0997 |       2.0367 |      1.0000e-10 |
|      83 |         330 |       00:01:57 |       72.73% |       50.00% |       1.1917 |       2.0367 |      1.0000e-11 |
|      88 |         350 |       00:02:04 |       81.82% |              |       0.9587 |              |      1.0000e-11 |
|      88 |         352 |       00:02:05 |       72.73% |       50.00% |       1.1892 |       2.0367 |      1.0000e-11 |
|      94 |         374 |       00:02:13 |       45.45% |       50.00% |       1.4999 |       2.0367 |      1.0000e-12 |
|      99 |         396 |       00:02:21 |       90.91% |       50.00% |       0.8012 |       2.0367 |      1.0000e-12 |
|     100 |         400 |       00:02:22 |       90.91% |       50.00% |       0.9565 |       2.0367 |      1.0000e-12 |
|======================================================================================================================|
