Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,1,,,,,30.91%,6.00%,2.05624,2.53088,,0.152143639,0.089442719,0.171610644,0.153057561
,,,,,,,,,,,,,,
18.18%,10.00%,2.2555,2.4085,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,20.00%,2.1396,2.41,,,,,,,,,,,
,,,,,,,,,,,,,,
27.27%,0.00%,1.9198,2.4539,,,,,,,,,,,
,,,,,,,,,,,,,,
36.36%,0.00%,1.8385,2.6322,,,,,,,,,,,
,,,,,,,,,,,,,,
18.18%,0.00%,2.1278,2.7498,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,2,,,,,40.00%,16.00%,1.82106,2.53436,,0.137909427,0.089442719,0.158386057,0.470537759
,,,,,,,,,,,,,,
54.55%,30.00%,1.8428,2.3542,,,,,,,,,,,
,,,,,,,,,,,,,,
27.27%,10.00%,1.8793,2.0005,,,,,,,,,,,
,,,,,,,,,,,,,,
36.36%,10.00%,1.9412,3.2797,,,,,,,,,,,
,,,,,,,,,,,,,,
27.27%,10.00%,1.8971,2.5966,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,20.00%,1.5449,2.4408,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,3,,,,,49.09%,22.00%,1.63392,2.35732,,0.103690188,0.14832397,0.205592198,0.274921056
,,,,,,,,,,,,,,
36.36%,0.00%,1.8968,2.6673,,,,,,,,,,,
,,,,,,,,,,,,,,
45.45%,20.00%,1.8042,2.5125,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,20.00%,1.5566,2.4728,,,,,,,,,,,
,,,,,,,,,,,,,,
45.45%,40.00%,1.485,2.0558,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.427,2.0782,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,4,,,,,70.91%,20.00%,1.22192,2.30258,,0.134826488,0.122474487,0.203571516,0.324714277
,,,,,,,,,,,,,,
54.55%,30.00%,1.1267,2.0566,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,0.00%,1.452,2.5813,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,20.00%,1.0177,2.5292,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,30.00%,1.0839,1.8578,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,20.00%,1.4293,2.488,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,5,,,,,65.46%,18.00%,1.23508,2.36108,,0.252266096,0.130384048,0.24701803,0.080986338
,,,,,,,,,,,,,,
54.55%,0.00%,1.4654,2.4674,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,30.00%,0.8543,2.3269,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,20.00%,1.2036,2.4144,,,,,,,,,,,
,,,,,,,,,,,,,,
36.36%,10.00%,1.4454,2.3374,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,1.2067,2.2593,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,6,,,,,67.28%,28.00%,1.19252,2.13326,,0.137856676,0.109544512,0.155142618,0.225187251
,,,,,,,,,,,,,,
54.55%,10.00%,1.3824,2.2032,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.1833,2.3755,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.2761,2.1996,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,30.00%,0.9649,2.1218,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,40.00%,1.1559,1.7662,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,7,,,,,81.82%,24.00%,0.97156,2.14496,,0.111329309,0.054772256,0.198674163,0.219316992
,,,,,,,,,,,,,,
72.73%,20.00%,1.1788,2.2264,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,20.00%,0.8581,2.3579,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,30.00%,1.1972,1.9566,,,,,,,,,,,
,,,,,,,,,,,,,,
100.00%,30.00%,0.8201,1.8691,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,20.00%,0.8036,2.3148,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,8,,,,,74.55%,30.00%,1.17052,2.02996,,0.1185191,0.070710678,0.117773499,0.370338295
,,,,,,,,,,,,,,
81.82%,30.00%,1.1238,2.0529,,,,,,,,,,,
,,,,,,,,,,,,,,
90.91%,20.00%,1.1957,2.0266,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.1888,2.6275,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.3339,1.7386,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,40.00%,1.0104,1.7042,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,9,,,,,65.46%,30.00%,1.20308,2.31308,,0.174891232,0.158113883,0.223835167,0.406436646
,,,,,,,,,,,,,,
72.73%,10.00%,1.2783,2.8948,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,20.00%,1.1087,2.0876,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,50.00%,1.1401,2.0835,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,0.9454,2.5744,,,,,,,,,,,
,,,,,,,,,,,,,,
36.36%,40.00%,1.5429,1.9251,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,10,,,,,72.73%,32.00%,1.17712,2.25642,,0.0909,0.04472136,0.094872899,0.407418258
,,,,,,,,,,,,,,
63.64%,30.00%,1.2188,2.2634,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,40.00%,1.0243,1.9053,,,,,,,,,,,
,,,,,,,,,,,,,,
63.64%,30.00%,1.2647,2.102,,,,,,,,,,,
,,,,,,,,,,,,,,
72.73%,30.00%,1.2274,2.0627,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,30.00%,1.1504,2.9487,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,11,,,,,76.37%,40.00%,1.11298,1.96152,,0.137856676,0.2,0.12460707,0.259365162
,,,,,,,,,,,,,,
72.73%,60.00%,1.3142,1.7621,,,,,,,,,,,
,,,,,,,,,,,,,,
81.82%,10.00%,1.071,2.154,,,,,,,,,,,
,,,,,,,,,,,,,,
54.55%,30.00%,1.0813,2.3192,,,,,,,,,,,
,,,,,,,,,,,,,,
