Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.11% |       25.00% |       2.1401 |       1.9960 |          0.0010 |
|       5 |          18 |       00:00:02 |       33.33% |        0.00% |       1.7636 |       2.1281 |          0.0010 |
|       9 |          36 |       00:00:04 |       66.67% |        0.00% |       0.8846 |       2.0572 |          0.0010 |
|      13 |          50 |       00:00:05 |      100.00% |              |       0.5010 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       66.67% |        0.00% |       0.7593 |       1.8535 |          0.0001 |
|      18 |          72 |       00:00:07 |       66.67% |        0.00% |       0.6837 |       1.8587 |          0.0001 |
|      23 |          90 |       00:00:09 |       55.56% |        0.00% |       0.9412 |       1.8035 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |       77.78% |              |       0.6171 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       77.78% |        0.00% |       0.6486 |       1.7845 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       77.78% |        0.00% |       0.5822 |       1.7849 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |       88.89% |        0.00% |       0.5339 |       1.7849 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |       88.89% |              |       0.5437 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       66.67% |        0.00% |       0.8443 |       1.7865 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |      100.00% |        0.00% |       0.3856 |       1.7867 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       88.89% |        0.00% |       0.3876 |       1.7868 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       88.89% |              |       0.6293 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |       77.78% |        0.00% |       0.6933 |       1.7869 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |       88.89% |        0.00% |       0.7492 |       1.7869 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |      100.00% |              |       0.3842 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |       88.89% |        0.00% |       0.6336 |       1.7869 |      1.0000e-09 |
|      68 |         270 |       00:00:26 |       88.89% |        0.00% |       0.5047 |       1.7869 |      1.0000e-09 |
|      72 |         288 |       00:00:27 |       77.78% |        0.00% |       0.5632 |       1.7869 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |       77.78% |              |       0.6613 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |       77.78% |        0.00% |       0.5239 |       1.7869 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |      100.00% |        0.00% |       0.3276 |       1.7869 |      1.0000e-11 |
|      86 |         342 |       00:00:32 |       88.89% |        0.00% |       0.2718 |       1.7869 |      1.0000e-11 |
|      88 |         350 |       00:00:33 |       88.89% |              |       0.5581 |              |      1.0000e-11 |
|      90 |         360 |       00:00:34 |       88.89% |        0.00% |       0.3647 |       1.7869 |      1.0000e-11 |
|      95 |         378 |       00:00:36 |       88.89% |        0.00% |       0.5498 |       1.7869 |      1.0000e-12 |
|      99 |         396 |       00:00:37 |      100.00% |        0.00% |       0.4359 |       1.7869 |      1.0000e-12 |
|     100 |         400 |       00:00:38 |       88.89% |        0.00% |       0.7214 |       1.7869 |      1.0000e-12 |
|======================================================================================================================|
