Accuracy,Accuracy Validation,Loss,Loss Validation,,MEAN,Accuracy,Accuracy Validation,Loss,Loss Validation,,,STD,Accuracy,Accuracy Validation,Loss,Loss Validation
,,,,,,,,,,,,,,,,
Number Of features = ,1,,,,,0.3111,0.1,1.8354,2.30766,,,,0.182589403,0.136930639,0.259445081,0.652513711
,,,,,,,,,,,,,,,,
22.22%,0.00%,1.8127,2.3164,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22.22%,0.00%,1.8949,3.08,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,25.00%,1.5918,1.6393,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,25.00%,1.6351,1.6797,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11.11%,0.00%,2.2425,2.8229,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,2,,,,,0.44444,0.45,1.32,1.9639,,,,0.260605896,0.32596012,0.247309644,0.868995351
,,,,,,,,,,,,,,,,
33.33%,75.00%,1.3135,1.4473,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22.22%,50.00%,1.5821,1.6188,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,0.00%,1.0227,2.8548,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
22.22%,75.00%,1.549,0.99,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,1.1327,2.9086,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,3,,,,,0.46666,0.4,1.30176,1.56984,,,,0.144906532,0.223606798,0.159406016,0.313181382
,,,,,,,,,,,,,,,,
33.33%,25.00%,1.3221,2.0752,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,1.1663,1.5323,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,25.00%,1.3323,1.5827,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
33.33%,50.00%,1.542,1.4291,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,75.00%,1.1461,1.2299,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,4,,,,,0.53334,0.35,1.17894,1.7262,,,,0.144906532,0.285043856,0.11097046,0.822909138
,,,,,,,,,,,,,,,,
33.33%,25.00%,1.3599,1.3415,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,0.00%,1.1093,2.6447,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55.56%,50.00%,1.1648,1.3171,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
44.44%,75.00%,1.1884,0.7858,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,1.0723,2.5419,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Number Of features = ,5,,,,,0.60002,0.35,1.03502,1.71944,,,,0.278902612,0.136930639,0.301158027,0.555607126
,,,,,,,,,,,,,,,,
66.67%,50.00%,1.036,0.9057,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,0.7338,1.9787,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11.11%,50.00%,1.5289,1.5025,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
77.78%,25.00%,1.0067,1.8216,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66.67%,25.00%,0.8697,2.3887,,,,,,,,,,,,,
