Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.2061 |       2.1351 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |       50.00% |       1.5611 |       1.5945 |          0.0010 |
|       9 |          36 |       00:00:03 |       88.89% |       75.00% |       1.0135 |       0.8195 |          0.0010 |
|      13 |          50 |       00:00:04 |       77.78% |              |       0.8090 |              |          0.0001 |
|      14 |          54 |       00:00:04 |       77.78% |       75.00% |       0.6298 |       0.7058 |          0.0001 |
|      18 |          72 |       00:00:06 |       77.78% |       75.00% |       0.6330 |       0.6812 |          0.0001 |
|      23 |          90 |       00:00:07 |       55.56% |       75.00% |       1.1002 |       0.6515 |      1.0000e-05 |
|      25 |         100 |       00:00:08 |       77.78% |              |       0.5945 |              |      1.0000e-05 |
|      27 |         108 |       00:00:09 |       88.89% |       75.00% |       0.4206 |       0.6294 |      1.0000e-05 |
|      32 |         126 |       00:00:10 |       66.67% |       75.00% |       0.9084 |       0.6168 |      1.0000e-06 |
|      36 |         144 |       00:00:12 |       88.89% |       75.00% |       0.6392 |       0.6160 |      1.0000e-06 |
|      38 |         150 |       00:00:12 |       44.44% |              |       1.2598 |              |      1.0000e-06 |
|      41 |         162 |       00:00:13 |       88.89% |       75.00% |       0.5267 |       0.6155 |      1.0000e-07 |
|      45 |         180 |       00:00:14 |       44.44% |       75.00% |       1.1858 |       0.6154 |      1.0000e-07 |
|      50 |         198 |       00:00:16 |       77.78% |       75.00% |       0.8002 |       0.6154 |      1.0000e-07 |
|      50 |         200 |       00:00:16 |       77.78% |              |       0.7255 |              |      1.0000e-07 |
|      54 |         216 |       00:00:17 |       77.78% |       75.00% |       0.8578 |       0.6153 |      1.0000e-08 |
|      59 |         234 |       00:00:19 |       77.78% |       75.00% |       0.9732 |       0.6153 |      1.0000e-08 |
|      63 |         250 |       00:00:20 |       66.67% |              |       0.8176 |              |      1.0000e-09 |
|      63 |         252 |       00:00:20 |       77.78% |       75.00% |       0.7237 |       0.6153 |      1.0000e-09 |
|      68 |         270 |       00:00:22 |       77.78% |       75.00% |       0.6557 |       0.6153 |      1.0000e-09 |
|      72 |         288 |       00:00:23 |       77.78% |       75.00% |       0.7277 |       0.6153 |      1.0000e-10 |
|      75 |         300 |       00:00:24 |       77.78% |              |       0.5334 |              |      1.0000e-10 |
|      77 |         306 |       00:00:25 |       88.89% |       75.00% |       0.6113 |       0.6153 |      1.0000e-10 |
|      81 |         324 |       00:00:26 |       44.44% |       75.00% |       1.2278 |       0.6153 |      1.0000e-11 |
|      86 |         342 |       00:00:28 |       66.67% |       75.00% |       0.9292 |       0.6153 |      1.0000e-11 |
|      88 |         350 |       00:00:28 |      100.00% |              |       0.3792 |              |      1.0000e-11 |
|      90 |         360 |       00:00:29 |       88.89% |       75.00% |       0.5894 |       0.6153 |      1.0000e-11 |
|      95 |         378 |       00:00:31 |       66.67% |       75.00% |       1.0386 |       0.6153 |      1.0000e-12 |
|      99 |         396 |       00:00:32 |      100.00% |       75.00% |       0.3968 |       0.6153 |      1.0000e-12 |
|     100 |         400 |       00:00:32 |       55.56% |       75.00% |       1.0021 |       0.6153 |      1.0000e-12 |
|======================================================================================================================|
