Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.1456 |       2.2535 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |        0.00% |       1.7043 |       2.2757 |          0.0010 |
|       9 |          36 |       00:00:04 |       77.78% |       25.00% |       0.7337 |       2.0023 |          0.0010 |
|      13 |          50 |       00:00:05 |       66.67% |              |       0.6677 |              |          0.0001 |
|      14 |          54 |       00:00:06 |       77.78% |       25.00% |       0.5768 |       1.9534 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       25.00% |       0.6048 |       1.8562 |          0.0001 |
|      23 |          90 |       00:00:09 |       88.89% |       25.00% |       0.4750 |       1.8108 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |      100.00% |              |       0.2950 |              |      1.0000e-05 |
|      27 |         108 |       00:00:11 |       88.89% |       25.00% |       0.4957 |       1.8005 |      1.0000e-05 |
|      32 |         126 |       00:00:13 |       88.89% |       25.00% |       0.3213 |       1.7973 |      1.0000e-06 |
|      36 |         144 |       00:00:15 |      100.00% |       25.00% |       0.4052 |       1.7959 |      1.0000e-06 |
|      38 |         150 |       00:00:15 |       88.89% |              |       0.2739 |              |      1.0000e-06 |
|      41 |         162 |       00:00:16 |      100.00% |       25.00% |       0.2854 |       1.7950 |      1.0000e-07 |
|      45 |         180 |       00:00:18 |      100.00% |       25.00% |       0.3014 |       1.7948 |      1.0000e-07 |
|      50 |         198 |       00:00:20 |       77.78% |       25.00% |       0.5502 |       1.7947 |      1.0000e-07 |
|      50 |         200 |       00:00:20 |       77.78% |              |       0.4668 |              |      1.0000e-07 |
|      54 |         216 |       00:00:22 |      100.00% |       25.00% |       0.5109 |       1.7947 |      1.0000e-08 |
|      59 |         234 |       00:00:24 |       66.67% |       25.00% |       0.6830 |       1.7947 |      1.0000e-08 |
|      63 |         250 |       00:00:26 |      100.00% |              |       0.2928 |              |      1.0000e-09 |
|      63 |         252 |       00:00:26 |      100.00% |       25.00% |       0.4776 |       1.7947 |      1.0000e-09 |
|      68 |         270 |       00:00:28 |       88.89% |       25.00% |       0.5703 |       1.7947 |      1.0000e-09 |
|      72 |         288 |       00:00:29 |       88.89% |       25.00% |       0.3729 |       1.7947 |      1.0000e-10 |
|      75 |         300 |       00:00:31 |      100.00% |              |       0.5868 |              |      1.0000e-10 |
|      77 |         306 |       00:00:31 |       77.78% |       25.00% |       0.4807 |       1.7947 |      1.0000e-10 |
|      81 |         324 |       00:00:33 |      100.00% |       25.00% |       0.3916 |       1.7947 |      1.0000e-11 |
|      86 |         342 |       00:00:35 |       55.56% |       25.00% |       0.6712 |       1.7947 |      1.0000e-11 |
|      88 |         350 |       00:00:36 |      100.00% |              |       0.3300 |              |      1.0000e-11 |
|      90 |         360 |       00:00:37 |      100.00% |       25.00% |       0.2588 |       1.7947 |      1.0000e-11 |
|      95 |         378 |       00:00:39 |       88.89% |       25.00% |       0.4809 |       1.7947 |      1.0000e-12 |
|      99 |         396 |       00:00:41 |       88.89% |       25.00% |       0.5307 |       1.7947 |      1.0000e-12 |
|     100 |         400 |       00:00:41 |       88.89% |       25.00% |       0.4903 |       1.7947 |      1.0000e-12 |
|======================================================================================================================|
