Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |       25.00% |       2.1357 |       2.1056 |          0.0010 |
|       4 |          16 |       00:00:01 |       75.00% |       12.50% |       1.4507 |       1.9244 |          0.0010 |
|       8 |          32 |       00:00:03 |       75.00% |       50.00% |       0.8632 |       1.5162 |          0.0010 |
|      12 |          48 |       00:00:04 |      100.00% |       37.50% |       0.4297 |       1.2779 |          0.0001 |
|      13 |          50 |       00:00:05 |       87.50% |              |       0.4739 |              |          0.0001 |
|      16 |          64 |       00:00:06 |      100.00% |       50.00% |       0.3333 |       1.3186 |          0.0001 |
|      20 |          80 |       00:00:07 |       62.50% |       50.00% |       0.9426 |       1.3300 |          0.0001 |
|      24 |          96 |       00:00:09 |       87.50% |       50.00% |       0.5162 |       1.3256 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       75.00% |              |       0.6322 |              |      1.0000e-05 |
|      28 |         112 |       00:00:10 |       87.50% |       50.00% |       0.5207 |       1.3177 |      1.0000e-05 |
|      32 |         128 |       00:00:12 |       75.00% |       50.00% |       0.7761 |       1.3126 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       75.00% |       50.00% |       0.7764 |       1.3122 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.3291 |              |      1.0000e-06 |
|      40 |         160 |       00:00:15 |       75.00% |       50.00% |       0.7365 |       1.3120 |      1.0000e-06 |
|      44 |         176 |       00:00:16 |       87.50% |       50.00% |       0.4829 |       1.3119 |      1.0000e-07 |
|      48 |         192 |       00:00:18 |       87.50% |       50.00% |       0.4850 |       1.3119 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |      100.00% |              |       0.3974 |              |      1.0000e-07 |
|      52 |         208 |       00:00:19 |       87.50% |       50.00% |       0.5218 |       1.3119 |      1.0000e-08 |
|      56 |         224 |       00:00:21 |       87.50% |       50.00% |       0.5969 |       1.3119 |      1.0000e-08 |
|      60 |         240 |       00:00:22 |      100.00% |       50.00% |       0.5126 |       1.3119 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       87.50% |              |       0.5183 |              |      1.0000e-09 |
|      64 |         256 |       00:00:24 |       75.00% |       50.00% |       0.4753 |       1.3119 |      1.0000e-09 |
|      68 |         272 |       00:00:25 |       75.00% |       50.00% |       0.6385 |       1.3119 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |      100.00% |       50.00% |       0.5327 |       1.3119 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |       87.50% |              |       0.5385 |              |      1.0000e-10 |
|      76 |         304 |       00:00:28 |       62.50% |       50.00% |       0.8056 |       1.3119 |      1.0000e-10 |
|      80 |         320 |       00:00:29 |       75.00% |       50.00% |       0.6704 |       1.3119 |      1.0000e-10 |
|      84 |         336 |       00:00:31 |       75.00% |       50.00% |       0.7346 |       1.3119 |      1.0000e-11 |
|      88 |         350 |       00:00:32 |       87.50% |              |       0.3873 |              |      1.0000e-11 |
|      88 |         352 |       00:00:32 |       87.50% |       50.00% |       0.5010 |       1.3119 |      1.0000e-11 |
|      92 |         368 |       00:00:34 |       75.00% |       50.00% |       0.5479 |       1.3119 |      1.0000e-12 |
|      96 |         384 |       00:00:35 |       62.50% |       50.00% |       0.8763 |       1.3119 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |       62.50% |       50.00% |       0.9408 |       1.3119 |      1.0000e-12 |
|======================================================================================================================|
