Accuracy,Accuracy Validation,Loss,Loss Validation
Number Of features = ,1
25.00%,12.50%,1.4761,2.5379
37.50%,12.50%,1.8788,2.1625
37.50%,12.50%,1.6320,1.9553
50.00%,12.50%,1.2692,2.1223
37.50%,25.00%,1.5995,1.6961
Number Of features = ,2
37.50%,37.50%,1.2419,1.7217
50.00%,37.50%,1.1089,1.3833
87.50%,25.00%,0.9754,1.2639
62.50%,50.00%,0.8941,1.5040
62.50%,25.00%,0.9582,1.3224
Number Of features = ,3
75.00%,50.00%,0.6574,1.1407
87.50%,50.00%,0.6959,1.4347
87.50%,37.50%,0.8857,1.5221
62.50%,25.00%,0.8754,1.3905
75.00%,62.50%,0.8404,1.0567
Number Of features = ,4
75.00%,12.50%,1.0507,1.6829
87.50%,25.00%,0.7037,1.8288
62.50%,50.00%,0.8975,1.5434
75.00%,37.50%,0.8323,1.5511
62.50%,37.50%,1.0097,1.7551
Number Of features = ,5
62.50%,62.50%,0.9361,1.1655
87.50%,25.00%,0.6254,3.0101
75.00%,50.00%,0.8899,1.4136
25.00%,12.50%,1.4778,3.2633
75.00%,62.50%,0.9206,1.6162
Number Of features = ,6
87.50%,87.50%,0.6196,0.7234
62.50%,12.50%,1.0094,1.9551
87.50%,50.00%,0.4787,1.5435
75.00%,87.50%,0.7575,0.9551
100.00%,37.50%,0.3393,1.3906
Number Of features = ,7
62.50%,50.00%,0.9408,1.3119
87.50%,50.00%,0.6024,1.0187
75.00%,25.00%,0.6977,1.0362
75.00%,50.00%,0.7927,1.1321
75.00%,50.00%,0.6459,1.5385
Number Of features = ,8
50.00%,37.50%,0.9599,1.2881
87.50%,62.50%,0.5199,1.2316
62.50%,62.50%,0.8926,1.2887
50.00%,50.00%,0.9472,1.2530
100.00%,25.00%,0.4699,2.3108
Number Of features = ,9
87.50%,12.50%,0.4051,1.7681
87.50%,75.00%,0.6675,0.9967
87.50%,62.50%,0.6150,0.8997
100.00%,37.50%,0.3166,1.6150
62.50%,62.50%,0.7440,0.8081
Number Of features = ,10
75.00%,62.50%,0.5785,0.9384
75.00%,62.50%,0.7113,0.7498
87.50%,62.50%,0.4380,0.8590
75.00%,37.50%,0.7989,0.9608
100.00%,37.50%,0.5003,1.1348
Number Of features = ,11
100.00%,62.50%,0.2601,1.0175
100.00%,37.50%,0.4969,1.3252
87.50%,87.50%,0.5663,0.9366
100.00%,75.00%,0.3210,0.8117
87.50%,50.00%,0.3642,1.0674
Number Of features = ,12
87.50%,37.50%,0.2354,1.6011
75.00%,62.50%,0.6338,0.9308
100.00%,62.50%,0.6170,1.2262
100.00%,87.50%,0.4712,0.6058
75.00%,62.50%,0.8781,1.0647
Number Of features = ,13
87.50%,75.00%,0.3763,1.0173
87.50%,87.50%,0.5098,0.7868
87.50%,50.00%,0.4954,0.9667
75.00%,87.50%,0.5883,0.7026
100.00%,50.00%,0.3317,1.1973
Number Of features = ,14
62.50%,50.00%,0.6990,1.3973
87.50%,37.50%,0.3535,1.0875
100.00%,37.50%,0.1187,1.4728
75.00%,37.50%,0.5687,1.1445
87.50%,62.50%,0.4151,0.9596
Number Of features = ,15
100.00%,50.00%,0.3037,0.9580
100.00%,50.00%,0.5313,1.5230
75.00%,62.50%,0.5697,1.3545
100.00%,50.00%,0.3049,1.0464
100.00%,25.00%,0.6803,1.7213
Number Of features = ,16
87.50%,87.50%,0.5323,0.6555
100.00%,25.00%,0.2177,1.4804
100.00%,75.00%,0.4185,0.8356
75.00%,62.50%,0.5720,0.9652
87.50%,100.00%,0.4292,0.4853
Number Of features = ,17
87.50%,75.00%,0.5339,0.7095
100.00%,75.00%,0.3360,1.0738
100.00%,62.50%,0.2084,0.8848
87.50%,75.00%,0.3814,0.7298
87.50%,50.00%,0.4030,0.9768
Number Of features = ,18
100.00%,62.50%,0.3730,1.1512
75.00%,50.00%,0.4644,0.9427
100.00%,75.00%,0.3424,0.7774
87.50%,75.00%,0.3105,0.8668
87.50%,50.00%,0.4309,1.4187
Number Of features = ,19
100.00%,87.50%,0.3545,0.5721
100.00%,50.00%,0.3909,1.2224
100.00%,50.00%,0.2440,1.0463
100.00%,75.00%,0.3862,1.2753
100.00%,75.00%,0.2313,0.8015
Number Of features = ,20
100.00%,62.50%,0.3419,1.6597
87.50%,37.50%,0.3638,1.5415
100.00%,87.50%,0.3937,0.6010
100.00%,62.50%,0.3016,1.1106
100.00%,62.50%,0.3227,0.9024
Number Of features = ,21
100.00%,87.50%,0.2211,0.3707
100.00%,37.50%,0.2090,1.7010
100.00%,62.50%,0.2829,0.8560
100.00%,50.00%,0.3209,1.5926
100.00%,75.00%,0.3896,0.8366
Number Of features = ,22
100.00%,75.00%,0.1427,0.8111
