Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       20.00% |       19.05% |       1.7490 |       1.7943 |          0.0010 |
|       5 |          50 |       00:00:25 |       30.00% |       42.86% |       1.6232 |       1.4671 |          0.0010 |
|      10 |         100 |       00:00:48 |       20.00% |       52.38% |       1.6484 |       1.2638 |          0.0010 |
|      14 |         150 |       00:01:12 |       40.00% |       52.38% |       1.4696 |       1.3564 |          0.0001 |
|      19 |         200 |       00:01:36 |       40.00% |       47.62% |       1.2826 |       1.3040 |          0.0001 |
|      23 |         250 |       00:01:59 |       10.00% |       47.62% |       1.5994 |       1.3162 |      1.0000e-05 |
|      28 |         300 |       00:02:23 |       20.00% |       57.14% |       1.5706 |       1.2310 |      1.0000e-05 |
|      32 |         350 |       00:02:46 |       30.00% |       57.14% |       1.5788 |       1.2826 |      1.0000e-06 |
|      37 |         400 |       00:03:10 |       60.00% |       52.38% |       1.4331 |       1.2888 |      1.0000e-06 |
|      41 |         450 |       00:03:34 |       60.00% |       52.38% |       1.3367 |       1.2889 |      1.0000e-07 |
|      46 |         500 |       00:03:58 |       20.00% |       52.38% |       1.5367 |       1.2842 |      1.0000e-07 |
|      50 |         550 |       00:04:22 |       50.00% |       57.14% |       1.1502 |       1.3524 |      1.0000e-07 |
|      55 |         600 |       00:04:46 |       30.00% |       52.38% |       1.3026 |       1.3403 |      1.0000e-08 |
|      60 |         650 |       00:05:10 |       50.00% |       52.38% |       1.2329 |       1.3309 |      1.0000e-08 |
|      64 |         700 |       00:05:34 |       40.00% |       57.14% |       1.2959 |       1.2335 |      1.0000e-09 |
|      69 |         750 |       00:05:58 |       50.00% |       57.14% |       1.3897 |       1.2335 |      1.0000e-09 |
|      73 |         800 |       00:06:22 |       40.00% |       47.62% |       1.5122 |       1.2815 |      1.0000e-10 |
|      78 |         850 |       00:06:46 |       20.00% |       57.14% |       1.8771 |       1.2815 |      1.0000e-10 |
|      82 |         900 |       00:07:10 |       40.00% |       47.62% |       1.3345 |       1.3112 |      1.0000e-11 |
|      87 |         950 |       00:07:34 |       50.00% |       47.62% |       1.2841 |       1.3069 |      1.0000e-11 |
|      91 |        1000 |       00:07:58 |       50.00% |       52.38% |       1.2597 |       1.2787 |      1.0000e-12 |
|      96 |        1050 |       00:08:23 |       40.00% |       57.14% |       1.1549 |       1.2291 |      1.0000e-12 |
|     100 |        1100 |       00:08:46 |       30.00% |       47.62% |       1.8129 |       1.3294 |      1.0000e-12 |
|======================================================================================================================|
