Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |        9.52% |       1.8489 |       1.7823 |          0.0010 |
|       5 |          50 |       00:00:24 |       50.00% |       57.14% |       1.2587 |       1.1989 |          0.0010 |
|      10 |         100 |       00:00:48 |       50.00% |       61.90% |       1.0160 |       0.9294 |          0.0010 |
|      14 |         150 |       00:01:12 |       70.00% |       52.38% |       0.9425 |       1.0120 |          0.0001 |
|      19 |         200 |       00:01:34 |       60.00% |       52.38% |       1.1248 |       0.8999 |          0.0001 |
|      23 |         250 |       00:01:58 |       80.00% |       52.38% |       0.6718 |       0.9195 |      1.0000e-05 |
|      28 |         300 |       00:02:21 |       80.00% |       57.14% |       0.6485 |       0.8327 |      1.0000e-05 |
|      32 |         350 |       00:02:44 |       70.00% |       52.38% |       0.9215 |       0.9283 |      1.0000e-06 |
|      37 |         400 |       00:03:07 |       70.00% |       57.14% |       0.7622 |       0.8755 |      1.0000e-06 |
|      41 |         450 |       00:03:31 |       90.00% |       57.14% |       0.6308 |       0.8192 |      1.0000e-07 |
|      46 |         500 |       00:03:54 |       70.00% |       57.14% |       0.7108 |       0.9949 |      1.0000e-07 |
|      50 |         550 |       00:04:18 |       60.00% |       57.14% |       0.8153 |       0.8282 |      1.0000e-07 |
|      55 |         600 |       00:04:41 |      100.00% |       57.14% |       0.3442 |       0.8190 |      1.0000e-08 |
|      60 |         650 |       00:05:04 |       60.00% |       57.14% |       0.9071 |       1.0329 |      1.0000e-08 |
|      64 |         700 |       00:05:27 |       90.00% |       47.62% |       0.5001 |       1.0705 |      1.0000e-09 |
|      69 |         750 |       00:05:51 |       70.00% |       52.38% |       0.7987 |       0.8695 |      1.0000e-09 |
|      73 |         800 |       00:06:14 |       80.00% |       57.14% |       0.8235 |       0.8282 |      1.0000e-10 |
|      78 |         850 |       00:06:38 |       70.00% |       57.14% |       0.6249 |       0.8282 |      1.0000e-10 |
|      82 |         900 |       00:07:01 |       50.00% |       57.14% |       0.9006 |       0.8282 |      1.0000e-11 |
|      87 |         950 |       00:07:25 |       90.00% |       57.14% |       0.5326 |       0.8190 |      1.0000e-11 |
|      91 |        1000 |       00:07:48 |       50.00% |       52.38% |       1.0503 |       0.8556 |      1.0000e-12 |
|      96 |        1050 |       00:08:12 |       60.00% |       52.38% |       0.7618 |       1.0223 |      1.0000e-12 |
|     100 |        1100 |       00:08:36 |       60.00% |       57.14% |       0.8799 |       0.8282 |      1.0000e-12 |
|======================================================================================================================|
