Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       57.14% |       0.7398 |       0.6961 |          0.0010 |
|       5 |          50 |       00:00:25 |       60.00% |       71.43% |       0.5496 |       0.5015 |          0.0010 |
|      10 |         100 |       00:00:50 |      100.00% |       85.71% |       0.1896 |       0.4245 |          0.0010 |
|      14 |         150 |       00:01:15 |       70.00% |       95.24% |       0.4042 |       0.2301 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |       90.48% |       0.1218 |       0.2670 |          0.0001 |
|      23 |         250 |       00:02:03 |      100.00% |       95.24% |       0.0720 |       0.2275 |      1.0000e-05 |
|      28 |         300 |       00:02:27 |      100.00% |       95.24% |       0.0538 |       0.2402 |      1.0000e-05 |
|      32 |         350 |       00:02:51 |       90.00% |       95.24% |       0.2919 |       0.2299 |      1.0000e-06 |
|      37 |         400 |       00:03:15 |      100.00% |       95.24% |       0.0715 |       0.2270 |      1.0000e-06 |
|      41 |         450 |       00:03:40 |      100.00% |       95.24% |       0.0755 |       0.1980 |      1.0000e-07 |
|      46 |         500 |       00:04:04 |      100.00% |       90.48% |       0.0592 |       0.2815 |      1.0000e-07 |
|      50 |         550 |       00:04:28 |       80.00% |       90.48% |       0.2520 |       0.3598 |      1.0000e-07 |
|      55 |         600 |       00:04:53 |       90.00% |       95.24% |       0.4038 |       0.1972 |      1.0000e-08 |
|      60 |         650 |       00:05:17 |       90.00% |       95.24% |       0.3488 |       0.2303 |      1.0000e-08 |
|      64 |         700 |       00:05:42 |       90.00% |      100.00% |       0.1388 |       0.1209 |      1.0000e-09 |
|      69 |         750 |       00:06:07 |       90.00% |       90.48% |       0.1466 |       0.2815 |      1.0000e-09 |
|      73 |         800 |       00:06:31 |      100.00% |       95.24% |       0.0764 |       0.2303 |      1.0000e-10 |
|      78 |         850 |       00:06:56 |       90.00% |       90.48% |       0.2151 |       0.2725 |      1.0000e-10 |
|      82 |         900 |       00:07:20 |       90.00% |       95.24% |       0.1895 |       0.2384 |      1.0000e-11 |
|      87 |         950 |       00:07:45 |       90.00% |       95.24% |       0.1590 |       0.2276 |      1.0000e-11 |
|      91 |        1000 |       00:08:10 |      100.00% |       95.24% |       0.1144 |       0.1986 |      1.0000e-12 |
|      96 |        1050 |       00:08:34 |      100.00% |       90.48% |       0.1539 |       0.3625 |      1.0000e-12 |
|     100 |        1100 |       00:08:59 |       80.00% |       95.24% |       0.5032 |       0.2308 |      1.0000e-12 |
|======================================================================================================================|
