Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       38.10% |       0.6653 |       0.7799 |          0.0010 |
|       5 |          50 |       00:00:26 |       90.00% |       57.14% |       0.4354 |       0.6793 |          0.0010 |
|      10 |         100 |       00:00:51 |      100.00% |       76.19% |       0.0287 |       0.8012 |          0.0010 |
|      14 |         150 |       00:01:15 |      100.00% |       71.43% |       0.0736 |       0.6737 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |       85.71% |       0.0211 |       0.7329 |          0.0001 |
|      23 |         250 |       00:02:04 |      100.00% |       80.95% |       0.0704 |       0.6469 |      1.0000e-05 |
|      28 |         300 |       00:02:28 |      100.00% |       76.19% |       0.0625 |       0.7901 |      1.0000e-05 |
|      32 |         350 |       00:02:53 |       90.00% |       76.19% |       0.1019 |       0.7492 |      1.0000e-06 |
|      37 |         400 |       00:03:17 |      100.00% |       76.19% |       0.0623 |       0.8815 |      1.0000e-06 |
|      41 |         450 |       00:03:42 |      100.00% |       76.19% |       0.1018 |       0.8667 |      1.0000e-07 |
|      46 |         500 |       00:04:06 |       90.00% |       76.19% |       0.1731 |       0.7700 |      1.0000e-07 |
|      50 |         550 |       00:04:31 |      100.00% |       76.19% |       0.0330 |       0.7706 |      1.0000e-07 |
|      55 |         600 |       00:04:55 |      100.00% |       76.19% |       0.0179 |       0.7694 |      1.0000e-08 |
|      60 |         650 |       00:05:19 |      100.00% |       76.19% |       0.0453 |       0.6966 |      1.0000e-08 |
|      64 |         700 |       00:05:43 |      100.00% |       76.19% |       0.0335 |       0.8686 |      1.0000e-09 |
|      69 |         750 |       00:06:07 |      100.00% |       76.19% |       0.0213 |       0.7706 |      1.0000e-09 |
|      73 |         800 |       00:06:32 |      100.00% |       76.19% |       0.0772 |       0.7714 |      1.0000e-10 |
|      78 |         850 |       00:06:56 |      100.00% |       76.19% |       0.0224 |       0.7703 |      1.0000e-10 |
|      82 |         900 |       00:07:21 |      100.00% |       76.19% |       0.0214 |       0.7228 |      1.0000e-11 |
|      87 |         950 |       00:07:46 |      100.00% |       76.19% |       0.0307 |       0.7700 |      1.0000e-11 |
|      91 |        1000 |       00:08:11 |      100.00% |       76.19% |       0.0133 |       0.6960 |      1.0000e-12 |
|      96 |        1050 |       00:08:35 |      100.00% |       76.19% |       0.0218 |       0.7236 |      1.0000e-12 |
|     100 |        1100 |       00:09:00 |      100.00% |       76.19% |       0.0185 |       0.7701 |      1.0000e-12 |
|======================================================================================================================|
