Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       40.00% |       42.86% |       1.0918 |       1.0650 |          0.0010 |
|       5 |          50 |       00:00:26 |       70.00% |       80.95% |       0.5636 |       0.5565 |          0.0010 |
|      10 |         100 |       00:00:50 |      100.00% |       95.24% |       0.0943 |       0.1345 |          0.0010 |
|      14 |         150 |       00:01:15 |      100.00% |      100.00% |       0.0300 |       0.0515 |          0.0001 |
|      19 |         200 |       00:01:40 |       90.00% |       95.24% |       0.1804 |       0.0674 |          0.0001 |
|      23 |         250 |       00:02:04 |      100.00% |      100.00% |       0.0190 |       0.0325 |      1.0000e-05 |
|      28 |         300 |       00:02:29 |       90.00% |      100.00% |       0.2315 |       0.0199 |      1.0000e-05 |
|      32 |         350 |       00:02:54 |      100.00% |      100.00% |       0.0118 |       0.0348 |      1.0000e-06 |
|      37 |         400 |       00:03:19 |      100.00% |      100.00% |       0.0328 |       0.0304 |      1.0000e-06 |
|      41 |         450 |       00:03:44 |      100.00% |      100.00% |       0.0708 |       0.0432 |      1.0000e-07 |
|      46 |         500 |       00:04:08 |      100.00% |      100.00% |       0.0572 |       0.0426 |      1.0000e-07 |
|      50 |         550 |       00:04:33 |      100.00% |      100.00% |       0.0174 |       0.0332 |      1.0000e-07 |
|      55 |         600 |       00:04:58 |      100.00% |      100.00% |       0.0148 |       0.0425 |      1.0000e-08 |
|      60 |         650 |       00:05:23 |      100.00% |      100.00% |       0.0225 |       0.0297 |      1.0000e-08 |
|      64 |         700 |       00:05:49 |      100.00% |      100.00% |       0.0153 |       0.0358 |      1.0000e-09 |
|      69 |         750 |       00:06:14 |      100.00% |      100.00% |       0.0069 |       0.0464 |      1.0000e-09 |
|      73 |         800 |       00:06:39 |      100.00% |      100.00% |       0.1415 |       0.0501 |      1.0000e-10 |
|      78 |         850 |       00:07:04 |      100.00% |      100.00% |       0.0167 |       0.0303 |      1.0000e-10 |
|      82 |         900 |       00:07:29 |      100.00% |      100.00% |       0.0576 |       0.0358 |      1.0000e-11 |
|      87 |         950 |       00:07:54 |      100.00% |       95.24% |       0.0539 |       0.1018 |      1.0000e-11 |
|      91 |        1000 |       00:08:20 |      100.00% |       95.24% |       0.0090 |       0.1022 |      1.0000e-12 |
|      96 |        1050 |       00:08:45 |      100.00% |      100.00% |       0.0657 |       0.0521 |      1.0000e-12 |
|     100 |        1100 |       00:09:10 |      100.00% |      100.00% |       0.0415 |       0.0201 |      1.0000e-12 |
|======================================================================================================================|
