Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       20.00% |        9.52% |       1.9581 |       1.8646 |          0.0010 |
|       5 |          50 |       00:00:25 |       70.00% |       42.86% |       0.9396 |       1.5508 |          0.0010 |
|      10 |         100 |       00:00:50 |       80.00% |       38.10% |       0.5002 |       1.7017 |          0.0010 |
|      14 |         150 |       00:01:14 |       70.00% |       47.62% |       0.8414 |       1.5301 |          0.0001 |
|      19 |         200 |       00:01:37 |       90.00% |       57.14% |       0.4506 |       1.4385 |          0.0001 |
|      23 |         250 |       00:02:01 |       90.00% |       42.86% |       0.2773 |       1.5140 |      1.0000e-05 |
|      28 |         300 |       00:02:26 |      100.00% |       52.38% |       0.1846 |       1.4673 |      1.0000e-05 |
|      32 |         350 |       00:02:49 |       90.00% |       47.62% |       0.4460 |       1.7173 |      1.0000e-06 |
|      37 |         400 |       00:03:14 |       90.00% |       52.38% |       0.3951 |       1.5207 |      1.0000e-06 |
|      41 |         450 |       00:03:38 |       90.00% |       47.62% |       0.4905 |       1.5654 |      1.0000e-07 |
|      46 |         500 |       00:04:02 |      100.00% |       52.38% |       0.1400 |       1.5255 |      1.0000e-07 |
|      50 |         550 |       00:04:26 |       90.00% |       47.62% |       0.3384 |       1.6297 |      1.0000e-07 |
|      55 |         600 |       00:04:50 |      100.00% |       47.62% |       0.1843 |       1.5518 |      1.0000e-08 |
|      60 |         650 |       00:05:15 |       90.00% |       52.38% |       0.2792 |       1.3191 |      1.0000e-08 |
|      64 |         700 |       00:05:39 |      100.00% |       47.62% |       0.1525 |       1.7216 |      1.0000e-09 |
|      69 |         750 |       00:06:04 |       90.00% |       52.38% |       0.3160 |       1.4331 |      1.0000e-09 |
|      73 |         800 |       00:06:28 |       80.00% |       47.62% |       0.3589 |       1.7216 |      1.0000e-10 |
|      78 |         850 |       00:06:52 |      100.00% |       47.62% |       0.2173 |       1.5632 |      1.0000e-10 |
|      82 |         900 |       00:07:17 |      100.00% |       52.38% |       0.2228 |       1.5290 |      1.0000e-11 |
|      87 |         950 |       00:07:41 |      100.00% |       47.62% |       0.2878 |       1.5715 |      1.0000e-11 |
|      91 |        1000 |       00:08:06 |       90.00% |       52.38% |       0.3834 |       1.3759 |      1.0000e-12 |
|      96 |        1050 |       00:08:31 |       80.00% |       52.38% |       0.3643 |       1.5131 |      1.0000e-12 |
|     100 |        1100 |       00:08:55 |       90.00% |       47.62% |       0.4434 |       1.3987 |      1.0000e-12 |
|======================================================================================================================|
