Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       57.14% |       0.7277 |       0.7597 |          0.0010 |
|       5 |          50 |       00:00:25 |      100.00% |       76.19% |       0.3085 |       0.5996 |          0.0010 |
|      10 |         100 |       00:00:50 |       90.00% |       80.95% |       0.1295 |       0.6195 |          0.0010 |
|      14 |         150 |       00:01:15 |       90.00% |       90.48% |       0.1168 |       0.4821 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |       85.71% |       0.0224 |       0.5712 |          0.0001 |
|      23 |         250 |       00:02:04 |      100.00% |       85.71% |       0.0176 |       0.5824 |      1.0000e-05 |
|      28 |         300 |       00:02:29 |      100.00% |       85.71% |       0.0151 |       0.5887 |      1.0000e-05 |
|      32 |         350 |       00:02:54 |      100.00% |       85.71% |       0.0466 |       0.5933 |      1.0000e-06 |
|      37 |         400 |       00:03:18 |      100.00% |       85.71% |       0.0459 |       0.5931 |      1.0000e-06 |
|      41 |         450 |       00:03:43 |      100.00% |       90.48% |       0.0828 |       0.5695 |      1.0000e-07 |
|      46 |         500 |       00:04:08 |      100.00% |       85.71% |       0.0538 |       0.6039 |      1.0000e-07 |
|      50 |         550 |       00:04:33 |      100.00% |       85.71% |       0.0311 |       0.6116 |      1.0000e-07 |
|      55 |         600 |       00:04:57 |      100.00% |       85.71% |       0.0143 |       0.4908 |      1.0000e-08 |
|      60 |         650 |       00:05:22 |      100.00% |       85.71% |       0.0196 |       0.5007 |      1.0000e-08 |
|      64 |         700 |       00:05:46 |      100.00% |       85.71% |       0.0206 |       0.6053 |      1.0000e-09 |
|      69 |         750 |       00:06:11 |      100.00% |       85.71% |       0.0176 |       0.5533 |      1.0000e-09 |
|      73 |         800 |       00:06:36 |      100.00% |       85.71% |       0.0104 |       0.5936 |      1.0000e-10 |
|      78 |         850 |       00:07:01 |      100.00% |       85.71% |       0.0179 |       0.5945 |      1.0000e-10 |
|      82 |         900 |       00:07:26 |      100.00% |       85.71% |       0.0153 |       0.6053 |      1.0000e-11 |
|      87 |         950 |       00:07:51 |      100.00% |       85.71% |       0.0251 |       0.6043 |      1.0000e-11 |
|      91 |        1000 |       00:08:17 |      100.00% |       85.71% |       0.0414 |       0.6056 |      1.0000e-12 |
|      96 |        1050 |       00:08:42 |       90.00% |       90.48% |       0.1515 |       0.5696 |      1.0000e-12 |
|     100 |        1100 |       00:09:07 |      100.00% |       90.48% |       0.0239 |       0.5825 |      1.0000e-12 |
|======================================================================================================================|
