Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       22.22% |        0.00% |       2.0720 |       2.1228 |          0.0010 |
|       5 |          18 |       00:00:02 |       55.56% |        0.00% |       1.3803 |       2.8187 |          0.0010 |
|       9 |          36 |       00:00:04 |       77.78% |       25.00% |       0.9094 |       2.1867 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.5982 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |       25.00% |       0.6555 |       2.0771 |          0.0001 |
|      18 |          72 |       00:00:07 |       66.67% |       25.00% |       0.8743 |       1.9622 |          0.0001 |
|      23 |          90 |       00:00:09 |      100.00% |       50.00% |       0.4127 |       1.9051 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |       77.78% |              |       0.7611 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       88.89% |       50.00% |       0.5401 |       1.8841 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |       88.89% |       50.00% |       0.5184 |       1.8740 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |      100.00% |       50.00% |       0.5222 |       1.8724 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.4801 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |      100.00% |       50.00% |       0.6577 |       1.8721 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |      100.00% |       50.00% |       0.6473 |       1.8719 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       66.67% |       50.00% |       0.7736 |       1.8718 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |      100.00% |              |       0.3979 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |       88.89% |       50.00% |       0.5942 |       1.8718 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |       77.78% |       50.00% |       0.5163 |       1.8718 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       88.89% |              |       0.5551 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |      100.00% |       50.00% |       0.3595 |       1.8718 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |       88.89% |       50.00% |       0.3724 |       1.8718 |      1.0000e-09 |
|      72 |         288 |       00:00:27 |       88.89% |       50.00% |       0.3816 |       1.8718 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |      100.00% |              |       0.3850 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |      100.00% |       50.00% |       0.4796 |       1.8718 |      1.0000e-10 |
|      81 |         324 |       00:00:30 |       88.89% |       50.00% |       0.3623 |       1.8718 |      1.0000e-11 |
|      86 |         342 |       00:00:32 |      100.00% |       50.00% |       0.3245 |       1.8718 |      1.0000e-11 |
|      88 |         350 |       00:00:33 |      100.00% |              |       0.3107 |              |      1.0000e-11 |
|      90 |         360 |       00:00:34 |      100.00% |       50.00% |       0.3937 |       1.8718 |      1.0000e-11 |
|      95 |         378 |       00:00:35 |       88.89% |       50.00% |       0.4700 |       1.8718 |      1.0000e-12 |
|      99 |         396 |       00:00:37 |       77.78% |       50.00% |       0.5501 |       1.8718 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |       88.89% |       50.00% |       0.4936 |       1.8718 |      1.0000e-12 |
|======================================================================================================================|
