Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |        0.00% |        0.00% |       2.1502 |       2.0490 |          0.0010 |
|       5 |          18 |       00:00:02 |       44.44% |       25.00% |       1.6233 |       1.6508 |          0.0010 |
|       9 |          36 |       00:00:03 |       66.67% |       50.00% |       1.0146 |       1.1321 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.6415 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       88.89% |       50.00% |       0.6295 |       1.1758 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       50.00% |       0.5860 |       0.9860 |          0.0001 |
|      23 |          90 |       00:00:08 |       88.89% |       75.00% |       0.5786 |       0.9373 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       66.67% |              |       0.9557 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |      100.00% |       75.00% |       0.2389 |       0.9040 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |      100.00% |       75.00% |       0.3924 |       0.8914 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |      100.00% |       75.00% |       0.3681 |       0.8902 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.5371 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       88.89% |       75.00% |       0.4980 |       0.8894 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |       88.89% |       75.00% |       0.5955 |       0.8893 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |      100.00% |       75.00% |       0.6333 |       0.8893 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       88.89% |              |       0.4302 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |       88.89% |       75.00% |       0.5258 |       0.8893 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |      100.00% |       75.00% |       0.4464 |       0.8893 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |       88.89% |              |       0.5574 |              |      1.0000e-09 |
|      63 |         252 |       00:00:23 |       88.89% |       75.00% |       0.6495 |       0.8893 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |      100.00% |       75.00% |       0.4461 |       0.8893 |      1.0000e-09 |
|      72 |         288 |       00:00:27 |       88.89% |       75.00% |       0.5119 |       0.8893 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |      100.00% |              |       0.4641 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |       88.89% |       75.00% |       0.6105 |       0.8893 |      1.0000e-10 |
|      81 |         324 |       00:00:30 |      100.00% |       75.00% |       0.5532 |       0.8893 |      1.0000e-11 |
|      86 |         342 |       00:00:32 |      100.00% |       75.00% |       0.4695 |       0.8893 |      1.0000e-11 |
|      88 |         350 |       00:00:33 |      100.00% |              |       0.4773 |              |      1.0000e-11 |
|      90 |         360 |       00:00:34 |       88.89% |       75.00% |       0.5561 |       0.8893 |      1.0000e-11 |
|      95 |         378 |       00:00:35 |      100.00% |       75.00% |       0.4502 |       0.8893 |      1.0000e-12 |
|      99 |         396 |       00:00:37 |       88.89% |       75.00% |       0.5737 |       0.8893 |      1.0000e-12 |
|     100 |         400 |       00:00:37 |      100.00% |       75.00% |       0.4817 |       0.8893 |      1.0000e-12 |
|======================================================================================================================|
