Accuracy,Accuracy Validation,Loss,Loss Validation,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,1,,,,,28.89%,10.00%,1.78214,2.20826,,0.060851976,0.136930639,0.123187572,0.685879
,,,,,,,,,,,,,,
33.33%,25.00%,1.6662,1.7915,,,,,,,,,,,
,,,,,,,,,,,,,,
22.22%,0.00%,1.9176,2.6319,,,,,,,,,,,
,,,,,,,,,,,,,,
22.22%,25.00%,1.6567,1.5494,,,,,,,,,,,
,,,,,,,,,,,,,,
33.33%,0.00%,1.8966,1.8702,,,,,,,,,,,
,,,,,,,,,,,,,,
33.33%,0.00%,1.7736,3.1983,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,2,,,,,35.55%,25.00%,1.30042,1.57756,,0.144856677,0.176776695,0.108962503,0.260127369
,,,,,,,,,,,,,,
33.33%,50.00%,1.3503,1.4557,,,,,,,,,,,
,,,,,,,,,,,,,,
11.11%,25.00%,1.3779,1.3301,,,,,,,,,,,
,,,,,,,,,,,,,,
44.44%,25.00%,1.1194,1.9843,,,,,,,,,,,
,,,,,,,,,,,,,,
44.44%,25.00%,1.3762,1.4396,,,,,,,,,,,
,,,,,,,,,,,,,,
44.44%,0.00%,1.2783,1.6781,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,3,,,,,73.33%,55.00%,0.88618,1.17186,,0.185944704,0.32596012,0.218551383,0.330983546
,,,,,,,,,,,,,,
88.89%,0.00%,0.6267,1.5181,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,75.00%,0.9343,1.5105,,,,,,,,,,,
,,,,,,,,,,,,,,
77.78%,50.00%,0.8976,1.1211,,,,,,,,,,,
,,,,,,,,,,,,,,
44.44%,75.00%,1.2112,0.8571,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,75.00%,0.7611,0.8525,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,4,,,,,64.45%,35.00%,0.95494,1.51186,,0.144856677,0.136930639,0.232224779,0.336331753
,,,,,,,,,,,,,,
55.56%,25.00%,1.1394,1.7742,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,25.00%,0.5716,1.759,,,,,,,,,,,
,,,,,,,,,,,,,,
66.67%,50.00%,0.9045,1.3952,,,,,,,,,,,
,,,,,,,,,,,,,,
55.56%,50.00%,1.056,0.975,,,,,,,,,,,
,,,,,,,,,,,,,,
55.56%,25.00%,1.1032,1.6559,,,,,,,,,,,
,,,,,,,,,,,,,,
Number Of features = ,5,,,,,77.78%,35.00%,0.92418,1.39996,,0.157119127,0.136930639,0.189292359,0.256285433
,,,,,,,,,,,,,,
100.00%,50.00%,0.6315,1.1408,,,,,,,,,,,
,,,,,,,,,,,,,,
88.89%,25.00%,0.9539,1.215,,,,,,,,,,,
,,,,,,,,,,,,,,
