Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       22.22% |       25.00% |       2.1392 |       1.9622 |          0.0010 |
|       5 |          18 |       00:00:02 |       55.56% |       25.00% |       1.5568 |       1.7402 |          0.0010 |
|       9 |          36 |       00:00:03 |       55.56% |       50.00% |       1.0543 |       1.0866 |          0.0010 |
|      13 |          50 |       00:00:05 |       66.67% |              |       0.8691 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       77.78% |       25.00% |       0.5540 |       1.1461 |          0.0001 |
|      18 |          72 |       00:00:07 |       88.89% |       25.00% |       0.5442 |       1.0094 |          0.0001 |
|      23 |          90 |       00:00:08 |       88.89% |       25.00% |       0.8199 |       1.0081 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       66.67% |              |       0.7172 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       55.56% |       25.00% |       1.1613 |       1.0113 |      1.0000e-05 |
|      32 |         126 |       00:00:11 |       66.67% |       25.00% |       0.6967 |       1.0121 |      1.0000e-06 |
|      36 |         144 |       00:00:13 |       88.89% |       25.00% |       0.5881 |       1.0115 |      1.0000e-06 |
|      38 |         150 |       00:00:13 |       77.78% |              |       0.6374 |              |      1.0000e-06 |
|      41 |         162 |       00:00:14 |      100.00% |       25.00% |       0.4965 |       1.0114 |      1.0000e-07 |
|      45 |         180 |       00:00:16 |       55.56% |       25.00% |       0.8916 |       1.0114 |      1.0000e-07 |
|      50 |         198 |       00:00:18 |       88.89% |       25.00% |       0.7030 |       1.0113 |      1.0000e-07 |
|      50 |         200 |       00:00:18 |       77.78% |              |       0.9085 |              |      1.0000e-07 |
|      54 |         216 |       00:00:19 |       77.78% |       25.00% |       0.7735 |       1.0113 |      1.0000e-08 |
|      59 |         234 |       00:00:21 |       77.78% |       25.00% |       0.8407 |       1.0113 |      1.0000e-08 |
|      63 |         250 |       00:00:22 |       66.67% |              |       0.8481 |              |      1.0000e-09 |
|      63 |         252 |       00:00:22 |      100.00% |       25.00% |       0.5905 |       1.0113 |      1.0000e-09 |
|      68 |         270 |       00:00:24 |       55.56% |       25.00% |       0.9348 |       1.0113 |      1.0000e-09 |
|      72 |         288 |       00:00:26 |       66.67% |       25.00% |       0.7686 |       1.0113 |      1.0000e-10 |
|      75 |         300 |       00:00:27 |      100.00% |              |       0.5284 |              |      1.0000e-10 |
|      77 |         306 |       00:00:27 |       55.56% |       25.00% |       0.7789 |       1.0113 |      1.0000e-10 |
|      81 |         324 |       00:00:29 |       88.89% |       25.00% |       0.5114 |       1.0113 |      1.0000e-11 |
|      86 |         342 |       00:00:30 |       55.56% |       25.00% |       0.8002 |       1.0113 |      1.0000e-11 |
|      88 |         350 |       00:00:31 |       88.89% |              |       0.7052 |              |      1.0000e-11 |
|      90 |         360 |       00:00:32 |       55.56% |       25.00% |       1.0885 |       1.0113 |      1.0000e-11 |
|      95 |         378 |       00:00:34 |       88.89% |       25.00% |       0.7224 |       1.0113 |      1.0000e-12 |
|      99 |         396 |       00:00:35 |       66.67% |       25.00% |       0.7565 |       1.0113 |      1.0000e-12 |
|     100 |         400 |       00:00:36 |       77.78% |       25.00% |       0.6914 |       1.0113 |      1.0000e-12 |
|======================================================================================================================|
