Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |        0.00% |        0.00% |       2.9833 |       3.0022 |          0.0010 |
|       6 |          22 |       00:00:08 |       72.73% |        0.00% |       2.1159 |       2.9413 |          0.0010 |
|      11 |          44 |       00:00:15 |       45.45% |       10.00% |       1.5438 |       2.3367 |          0.0001 |
|      13 |          50 |       00:00:17 |       72.73% |              |       1.2601 |              |          0.0001 |
|      17 |          66 |       00:00:23 |       54.55% |       20.00% |       1.5242 |       2.2503 |          0.0001 |
|      22 |          88 |       00:00:31 |       72.73% |       30.00% |       1.1928 |       2.1952 |      1.0000e-05 |
|      25 |         100 |       00:00:35 |       72.73% |              |       1.0173 |              |      1.0000e-05 |
|      28 |         110 |       00:00:38 |       63.64% |       30.00% |       1.3064 |       2.1851 |      1.0000e-05 |
|      33 |         132 |       00:00:46 |       90.91% |       30.00% |       0.9407 |       2.1800 |      1.0000e-06 |
|      38 |         150 |       00:00:52 |       72.73% |              |       1.2761 |              |      1.0000e-06 |
|      39 |         154 |       00:00:53 |       81.82% |       30.00% |       0.7541 |       2.1790 |      1.0000e-06 |
|      44 |         176 |       00:01:01 |       72.73% |       30.00% |       1.1224 |       2.1787 |      1.0000e-07 |
|      50 |         198 |       00:01:09 |       63.64% |       30.00% |       1.3093 |       2.1786 |      1.0000e-07 |
|      50 |         200 |       00:01:10 |      100.00% |              |       1.1455 |              |      1.0000e-07 |
|      55 |         220 |       00:01:17 |       72.73% |       30.00% |       1.1151 |       2.1786 |      1.0000e-08 |
|      61 |         242 |       00:01:24 |       81.82% |       30.00% |       1.0215 |       2.1786 |      1.0000e-09 |
|      63 |         250 |       00:01:27 |       81.82% |              |       1.1423 |              |      1.0000e-09 |
|      66 |         264 |       00:01:32 |       72.73% |       30.00% |       1.0660 |       2.1786 |      1.0000e-09 |
|      72 |         286 |       00:01:40 |       63.64% |       30.00% |       1.2383 |       2.1786 |      1.0000e-10 |
|      75 |         300 |       00:01:45 |       54.55% |              |       1.5101 |              |      1.0000e-10 |
|      77 |         308 |       00:01:47 |       54.55% |       30.00% |       1.5658 |       2.1786 |      1.0000e-10 |
|      83 |         330 |       00:01:55 |       81.82% |       30.00% |       0.9627 |       2.1786 |      1.0000e-11 |
|      88 |         350 |       00:02:02 |       63.64% |              |       1.5515 |              |      1.0000e-11 |
|      88 |         352 |       00:02:03 |       72.73% |       30.00% |       0.9381 |       2.1786 |      1.0000e-11 |
|      94 |         374 |       00:02:11 |       81.82% |       30.00% |       1.0908 |       2.1786 |      1.0000e-12 |
|      99 |         396 |       00:02:18 |       81.82% |       30.00% |       1.1345 |       2.1786 |      1.0000e-12 |
|     100 |         400 |       00:02:20 |       90.91% |       30.00% |       0.9494 |       2.1786 |      1.0000e-12 |
|======================================================================================================================|
