Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       11.11% |        0.00% |       2.1176 |       2.3122 |          0.0010 |
|       5 |          18 |       00:00:02 |       77.78% |       25.00% |       1.0555 |       1.9808 |          0.0010 |
|       9 |          36 |       00:00:04 |       88.89% |       50.00% |       0.5376 |       1.1656 |          0.0010 |
|      13 |          50 |       00:00:05 |       88.89% |              |       0.4266 |              |          0.0001 |
|      14 |          54 |       00:00:06 |      100.00% |       75.00% |       0.2313 |       1.0976 |          0.0001 |
|      18 |          72 |       00:00:07 |      100.00% |       75.00% |       0.3442 |       1.0628 |          0.0001 |
|      23 |          90 |       00:00:09 |       88.89% |       75.00% |       0.3935 |       1.0810 |      1.0000e-05 |
|      25 |         100 |       00:00:10 |      100.00% |              |       0.1738 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       77.78% |       75.00% |       0.4548 |       1.0761 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |      100.00% |       75.00% |       0.1884 |       1.0741 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |      100.00% |       75.00% |       0.2586 |       1.0742 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |      100.00% |              |       0.0964 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |      100.00% |       75.00% |       0.1701 |       1.0741 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |       88.89% |       75.00% |       0.2137 |       1.0741 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |      100.00% |       75.00% |       0.1967 |       1.0740 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       88.89% |              |       0.2619 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |      100.00% |       75.00% |       0.3193 |       1.0740 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |      100.00% |       75.00% |       0.2691 |       1.0740 |      1.0000e-08 |
|      63 |         250 |       00:00:24 |       88.89% |              |       0.3448 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |      100.00% |       75.00% |       0.3088 |       1.0740 |      1.0000e-09 |
|      68 |         270 |       00:00:26 |      100.00% |       75.00% |       0.1664 |       1.0740 |      1.0000e-09 |
|      72 |         288 |       00:00:28 |      100.00% |       75.00% |       0.2738 |       1.0740 |      1.0000e-10 |
|      75 |         300 |       00:00:29 |      100.00% |              |       0.1090 |              |      1.0000e-10 |
|      77 |         306 |       00:00:30 |       88.89% |       75.00% |       0.2466 |       1.0740 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |       88.89% |       75.00% |       0.2671 |       1.0740 |      1.0000e-11 |
|      86 |         342 |       00:00:33 |      100.00% |       75.00% |       0.1190 |       1.0740 |      1.0000e-11 |
|      88 |         350 |       00:00:34 |       88.89% |              |       0.3219 |              |      1.0000e-11 |
|      90 |         360 |       00:00:35 |       88.89% |       75.00% |       0.2491 |       1.0740 |      1.0000e-11 |
|      95 |         378 |       00:00:36 |       88.89% |       75.00% |       0.4032 |       1.0740 |      1.0000e-12 |
|      99 |         396 |       00:00:38 |      100.00% |       75.00% |       0.2482 |       1.0740 |      1.0000e-12 |
|     100 |         400 |       00:00:39 |      100.00% |       75.00% |       0.1522 |       1.0740 |      1.0000e-12 |
|======================================================================================================================|
