Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       22.22% |       50.00% |       2.1067 |       2.0205 |          0.0010 |
|       5 |          18 |       00:00:02 |       55.56% |       50.00% |       1.5152 |       1.3806 |          0.0010 |
|       9 |          36 |       00:00:03 |       77.78% |      100.00% |       0.9287 |       0.6147 |          0.0010 |
|      13 |          50 |       00:00:05 |       66.67% |              |       1.0198 |              |          0.0001 |
|      14 |          54 |       00:00:05 |       77.78% |      100.00% |       0.8236 |       0.5055 |          0.0001 |
|      18 |          72 |       00:00:07 |       55.56% |      100.00% |       0.8876 |       0.4672 |          0.0001 |
|      23 |          90 |       00:00:08 |      100.00% |      100.00% |       0.5716 |       0.4366 |      1.0000e-05 |
|      25 |         100 |       00:00:09 |       88.89% |              |       0.7204 |              |      1.0000e-05 |
|      27 |         108 |       00:00:10 |       66.67% |      100.00% |       0.7633 |       0.4309 |      1.0000e-05 |
|      32 |         126 |       00:00:12 |      100.00% |      100.00% |       0.6481 |       0.4267 |      1.0000e-06 |
|      36 |         144 |       00:00:14 |       66.67% |      100.00% |       0.8140 |       0.4259 |      1.0000e-06 |
|      38 |         150 |       00:00:14 |       77.78% |              |       0.7444 |              |      1.0000e-06 |
|      41 |         162 |       00:00:15 |       77.78% |      100.00% |       0.9065 |       0.4254 |      1.0000e-07 |
|      45 |         180 |       00:00:17 |       88.89% |      100.00% |       0.6189 |       0.4253 |      1.0000e-07 |
|      50 |         198 |       00:00:19 |       55.56% |      100.00% |       1.0152 |       0.4253 |      1.0000e-07 |
|      50 |         200 |       00:00:19 |       88.89% |              |       0.6541 |              |      1.0000e-07 |
|      54 |         216 |       00:00:20 |      100.00% |      100.00% |       0.5712 |       0.4253 |      1.0000e-08 |
|      59 |         234 |       00:00:22 |       66.67% |      100.00% |       0.6998 |       0.4253 |      1.0000e-08 |
|      63 |         250 |       00:00:23 |      100.00% |              |       0.7236 |              |      1.0000e-09 |
|      63 |         252 |       00:00:24 |       88.89% |      100.00% |       0.5297 |       0.4253 |      1.0000e-09 |
|      68 |         270 |       00:00:25 |       77.78% |      100.00% |       0.7875 |       0.4253 |      1.0000e-09 |
|      72 |         288 |       00:00:27 |       77.78% |      100.00% |       0.8472 |       0.4253 |      1.0000e-10 |
|      75 |         300 |       00:00:28 |       77.78% |              |       0.6145 |              |      1.0000e-10 |
|      77 |         306 |       00:00:29 |       77.78% |      100.00% |       0.8370 |       0.4253 |      1.0000e-10 |
|      81 |         324 |       00:00:31 |       88.89% |      100.00% |       0.7096 |       0.4253 |      1.0000e-11 |
|      86 |         342 |       00:00:32 |       88.89% |      100.00% |       0.6626 |       0.4253 |      1.0000e-11 |
|      88 |         350 |       00:00:33 |      100.00% |              |       0.5159 |              |      1.0000e-11 |
|      90 |         360 |       00:00:34 |       55.56% |      100.00% |       0.8316 |       0.4253 |      1.0000e-11 |
|      95 |         378 |       00:00:36 |       77.78% |      100.00% |       0.5974 |       0.4253 |      1.0000e-12 |
|      99 |         396 |       00:00:37 |       88.89% |      100.00% |       0.6046 |       0.4253 |      1.0000e-12 |
|     100 |         400 |       00:00:38 |       88.89% |      100.00% |       0.8608 |       0.4253 |      1.0000e-12 |
|======================================================================================================================|
