Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       30.00% |       23.81% |       1.7797 |       1.7972 |          0.0010 |
|       5 |          50 |       00:00:26 |       40.00% |       52.38% |       1.0325 |       0.9827 |          0.0010 |
|      10 |         100 |       00:00:51 |      100.00% |       85.71% |       0.2981 |       0.5439 |          0.0010 |
|      14 |         150 |       00:01:16 |      100.00% |       95.24% |       0.2350 |       0.3511 |          0.0001 |
|      19 |         200 |       00:01:40 |      100.00% |       95.24% |       0.1541 |       0.2875 |          0.0001 |
|      23 |         250 |       00:02:06 |       90.00% |       95.24% |       0.3181 |       0.3115 |      1.0000e-05 |
|      28 |         300 |       00:02:31 |      100.00% |       95.24% |       0.0933 |       0.2933 |      1.0000e-05 |
|      32 |         350 |       00:02:55 |      100.00% |       95.24% |       0.1166 |       0.2899 |      1.0000e-06 |
|      37 |         400 |       00:03:21 |      100.00% |       95.24% |       0.1311 |       0.3047 |      1.0000e-06 |
|      41 |         450 |       00:03:46 |       80.00% |       95.24% |       0.4150 |       0.2684 |      1.0000e-07 |
|      46 |         500 |       00:04:11 |      100.00% |       95.24% |       0.1309 |       0.2675 |      1.0000e-07 |
|      50 |         550 |       00:04:37 |      100.00% |       95.24% |       0.1033 |       0.2629 |      1.0000e-07 |
|      55 |         600 |       00:05:02 |      100.00% |       95.24% |       0.1123 |       0.2629 |      1.0000e-08 |
|      60 |         650 |       00:05:27 |      100.00% |       95.24% |       0.1241 |       0.2888 |      1.0000e-08 |
|      64 |         700 |       00:05:52 |      100.00% |       95.24% |       0.1367 |       0.2670 |      1.0000e-09 |
|      69 |         750 |       00:06:18 |      100.00% |       90.48% |       0.0679 |       0.3153 |      1.0000e-09 |
|      73 |         800 |       00:06:43 |      100.00% |       95.24% |       0.0926 |       0.2661 |      1.0000e-10 |
|      78 |         850 |       00:07:08 |      100.00% |       95.24% |       0.0859 |       0.2675 |      1.0000e-10 |
|      82 |         900 |       00:07:34 |      100.00% |       90.48% |       0.0872 |       0.3264 |      1.0000e-11 |
|      87 |         950 |       00:07:59 |      100.00% |       95.24% |       0.1114 |       0.2662 |      1.0000e-11 |
|      91 |        1000 |       00:08:25 |      100.00% |       90.48% |       0.1496 |       0.3065 |      1.0000e-12 |
|      96 |        1050 |       00:08:50 |      100.00% |       95.24% |       0.1562 |       0.2675 |      1.0000e-12 |
|     100 |        1100 |       00:09:16 |      100.00% |       90.48% |       0.1598 |       0.3261 |      1.0000e-12 |
|======================================================================================================================|
