Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |       14.29% |       1.9071 |       1.7759 |          0.0010 |
|       5 |          50 |       00:00:24 |       60.00% |       57.14% |       1.0725 |       1.4778 |          0.0010 |
|      10 |         100 |       00:00:47 |       90.00% |       42.86% |       0.5486 |       1.4207 |          0.0010 |
|      14 |         150 |       00:01:10 |      100.00% |       42.86% |       0.2624 |       1.4040 |          0.0001 |
|      19 |         200 |       00:01:33 |       50.00% |       42.86% |       0.8741 |       1.5909 |          0.0001 |
|      23 |         250 |       00:01:57 |      100.00% |       38.10% |       0.3022 |       1.4121 |      1.0000e-05 |
|      28 |         300 |       00:02:19 |       50.00% |       38.10% |       0.8438 |       1.6643 |      1.0000e-05 |
|      32 |         350 |       00:02:42 |       70.00% |       38.10% |       0.9600 |       1.4158 |      1.0000e-06 |
|      37 |         400 |       00:03:05 |       60.00% |       38.10% |       0.8848 |       1.5718 |      1.0000e-06 |
|      41 |         450 |       00:03:28 |       90.00% |       38.10% |       0.4613 |       1.6176 |      1.0000e-07 |
|      46 |         500 |       00:03:51 |       70.00% |       38.10% |       0.8649 |       1.8228 |      1.0000e-07 |
|      50 |         550 |       00:04:14 |       80.00% |       33.33% |       0.4352 |       1.5187 |      1.0000e-07 |
|      55 |         600 |       00:04:37 |       70.00% |       38.10% |       0.6528 |       1.8146 |      1.0000e-08 |
|      60 |         650 |       00:05:00 |       80.00% |       38.10% |       0.5892 |       1.5592 |      1.0000e-08 |
|      64 |         700 |       00:05:23 |       70.00% |       38.10% |       0.6013 |       1.7503 |      1.0000e-09 |
|      69 |         750 |       00:05:45 |       90.00% |       42.86% |       0.4289 |       1.5736 |      1.0000e-09 |
|      73 |         800 |       00:06:08 |       60.00% |       33.33% |       0.8764 |       1.6008 |      1.0000e-10 |
|      78 |         850 |       00:06:31 |       80.00% |       28.57% |       0.5725 |       1.6939 |      1.0000e-10 |
|      82 |         900 |       00:06:54 |       70.00% |       38.10% |       0.7208 |       1.6209 |      1.0000e-11 |
|      87 |         950 |       00:07:17 |       60.00% |       42.86% |       0.9590 |       1.5736 |      1.0000e-11 |
|      91 |        1000 |       00:07:41 |       60.00% |       38.10% |       1.2069 |       1.6209 |      1.0000e-12 |
|      96 |        1050 |       00:08:04 |       40.00% |       42.86% |       1.2821 |       1.5121 |      1.0000e-12 |
|     100 |        1100 |       00:08:28 |       80.00% |       38.10% |       0.6315 |       1.6209 |      1.0000e-12 |
|======================================================================================================================|
