Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       30.00% |       33.33% |       0.8393 |       0.7603 |          0.0010 |
|       5 |          50 |       00:00:25 |       70.00% |       66.67% |       0.6040 |       0.5919 |          0.0010 |
|      10 |         100 |       00:00:50 |       80.00% |       80.95% |       0.3873 |       0.4418 |          0.0010 |
|      14 |         150 |       00:01:14 |      100.00% |       85.71% |       0.0374 |       0.2829 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |       85.71% |       0.0182 |       0.3749 |          0.0001 |
|      23 |         250 |       00:02:04 |       80.00% |       90.48% |       0.3872 |       0.2667 |      1.0000e-05 |
|      28 |         300 |       00:02:29 |      100.00% |       90.48% |       0.0124 |       0.2778 |      1.0000e-05 |
|      32 |         350 |       00:02:53 |      100.00% |       90.48% |       0.0316 |       0.2698 |      1.0000e-06 |
|      37 |         400 |       00:03:18 |      100.00% |       90.48% |       0.0385 |       0.2603 |      1.0000e-06 |
|      41 |         450 |       00:03:42 |      100.00% |       90.48% |       0.0143 |       0.2601 |      1.0000e-07 |
|      46 |         500 |       00:04:07 |      100.00% |       90.48% |       0.0846 |       0.2700 |      1.0000e-07 |
|      50 |         550 |       00:04:32 |       90.00% |       90.48% |       0.1485 |       0.2673 |      1.0000e-07 |
|      55 |         600 |       00:04:57 |      100.00% |       90.48% |       0.0448 |       0.2611 |      1.0000e-08 |
|      60 |         650 |       00:05:22 |      100.00% |       85.71% |       0.0320 |       0.2837 |      1.0000e-08 |
|      64 |         700 |       00:05:47 |      100.00% |       90.48% |       0.0348 |       0.2699 |      1.0000e-09 |
|      69 |         750 |       00:06:11 |       90.00% |       90.48% |       0.4145 |       0.2671 |      1.0000e-09 |
|      73 |         800 |       00:06:36 |      100.00% |       90.48% |       0.0506 |       0.2609 |      1.0000e-10 |
|      78 |         850 |       00:07:01 |      100.00% |       90.48% |       0.0168 |       0.2699 |      1.0000e-10 |
|      82 |         900 |       00:07:25 |      100.00% |       90.48% |       0.0158 |       0.2742 |      1.0000e-11 |
|      87 |         950 |       00:07:49 |      100.00% |       90.48% |       0.0247 |       0.2704 |      1.0000e-11 |
|      91 |        1000 |       00:08:14 |      100.00% |       90.48% |       0.0179 |       0.2700 |      1.0000e-12 |
|      96 |        1050 |       00:08:39 |       90.00% |       90.48% |       0.1785 |       0.2699 |      1.0000e-12 |
|     100 |        1100 |       00:09:03 |      100.00% |       90.48% |       0.0269 |       0.2700 |      1.0000e-12 |
|======================================================================================================================|
