Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       50.00% |       52.38% |       0.6628 |       0.6951 |          0.0010 |
|       5 |          50 |       00:00:26 |       90.00% |       76.19% |       0.2856 |       0.5653 |          0.0010 |
|      10 |         100 |       00:00:51 |      100.00% |       80.95% |       0.0702 |       0.5999 |          0.0010 |
|      14 |         150 |       00:01:16 |      100.00% |       85.71% |       0.0271 |       0.3384 |          0.0001 |
|      19 |         200 |       00:01:41 |      100.00% |       85.71% |       0.0791 |       0.3523 |          0.0001 |
|      23 |         250 |       00:02:06 |      100.00% |       80.95% |       0.0272 |       0.3749 |      1.0000e-05 |
|      28 |         300 |       00:02:31 |      100.00% |       85.71% |       0.0108 |       0.3529 |      1.0000e-05 |
|      32 |         350 |       00:02:56 |      100.00% |       85.71% |       0.0116 |       0.3737 |      1.0000e-06 |
|      37 |         400 |       00:03:21 |      100.00% |       85.71% |       0.0098 |       0.4093 |      1.0000e-06 |
|      41 |         450 |       00:03:46 |      100.00% |       80.95% |       0.0073 |       0.4320 |      1.0000e-07 |
|      46 |         500 |       00:04:11 |      100.00% |       85.71% |       0.0158 |       0.3891 |      1.0000e-07 |
|      50 |         550 |       00:04:36 |      100.00% |       85.71% |       0.0148 |       0.4103 |      1.0000e-07 |
|      55 |         600 |       00:05:01 |      100.00% |       85.71% |       0.0211 |       0.5132 |      1.0000e-08 |
|      60 |         650 |       00:05:26 |      100.00% |       85.71% |       0.0142 |       0.3684 |      1.0000e-08 |
|      64 |         700 |       00:05:51 |      100.00% |       85.71% |       0.0245 |       0.3710 |      1.0000e-09 |
|      69 |         750 |       00:06:17 |      100.00% |       85.71% |       0.0040 |       0.4974 |      1.0000e-09 |
|      73 |         800 |       00:06:41 |      100.00% |       85.71% |       0.0058 |       0.4907 |      1.0000e-10 |
|      78 |         850 |       00:07:06 |       80.00% |       85.71% |       0.3417 |       0.4103 |      1.0000e-10 |
|      82 |         900 |       00:07:32 |       90.00% |       85.71% |       0.1003 |       0.3710 |      1.0000e-11 |
|      87 |         950 |       00:07:57 |      100.00% |       85.71% |       0.0194 |       0.3902 |      1.0000e-11 |
|      91 |        1000 |       00:08:22 |      100.00% |       85.71% |       0.0539 |       0.3710 |      1.0000e-12 |
|      96 |        1050 |       00:08:48 |      100.00% |       85.71% |       0.0298 |       0.3691 |      1.0000e-12 |
|     100 |        1100 |       00:09:12 |      100.00% |       85.71% |       0.0089 |       0.3908 |      1.0000e-12 |
|======================================================================================================================|
