Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       30.00% |       47.62% |       1.1158 |       1.1118 |          0.0010 |
|       5 |          50 |       00:00:25 |      100.00% |       90.48% |       0.2536 |       0.3958 |          0.0010 |
|      10 |         100 |       00:00:50 |       90.00% |       90.48% |       0.6223 |       0.2538 |          0.0010 |
|      14 |         150 |       00:01:14 |      100.00% |       95.24% |       0.0355 |       0.1645 |          0.0001 |
|      19 |         200 |       00:01:39 |      100.00% |      100.00% |       0.0273 |       0.0219 |          0.0001 |
|      23 |         250 |       00:02:03 |      100.00% |       95.24% |       0.0187 |       0.1428 |      1.0000e-05 |
|      28 |         300 |       00:02:28 |       90.00% |      100.00% |       0.3441 |       0.0199 |      1.0000e-05 |
|      32 |         350 |       00:02:52 |      100.00% |      100.00% |       0.0206 |       0.0197 |      1.0000e-06 |
|      37 |         400 |       00:03:16 |      100.00% |      100.00% |       0.0273 |       0.0196 |      1.0000e-06 |
|      41 |         450 |       00:03:41 |      100.00% |       95.24% |       0.0213 |       0.0565 |      1.0000e-07 |
|      46 |         500 |       00:04:05 |      100.00% |      100.00% |       0.0321 |       0.0195 |      1.0000e-07 |
|      50 |         550 |       00:04:30 |      100.00% |      100.00% |       0.0204 |       0.0193 |      1.0000e-07 |
|      55 |         600 |       00:04:55 |      100.00% |       95.24% |       0.0492 |       0.0565 |      1.0000e-08 |
|      60 |         650 |       00:05:19 |      100.00% |       95.24% |       0.0163 |       0.0565 |      1.0000e-08 |
|      64 |         700 |       00:05:43 |      100.00% |       95.24% |       0.0182 |       0.0912 |      1.0000e-09 |
|      69 |         750 |       00:06:08 |       90.00% |       95.24% |       0.3517 |       0.0912 |      1.0000e-09 |
|      73 |         800 |       00:06:33 |      100.00% |       95.24% |       0.0340 |       0.0910 |      1.0000e-10 |
|      78 |         850 |       00:06:57 |      100.00% |       90.48% |       0.0210 |       0.1248 |      1.0000e-10 |
|      82 |         900 |       00:07:21 |      100.00% |       90.48% |       0.0117 |       0.2086 |      1.0000e-11 |
|      87 |         950 |       00:07:46 |      100.00% |       95.24% |       0.0347 |       0.0613 |      1.0000e-11 |
|      91 |        1000 |       00:08:11 |      100.00% |       90.48% |       0.0190 |       0.2146 |      1.0000e-12 |
|      96 |        1050 |       00:08:36 |      100.00% |       95.24% |       0.0489 |       0.0565 |      1.0000e-12 |
|     100 |        1100 |       00:09:01 |      100.00% |       95.24% |       0.0251 |       0.1562 |      1.0000e-12 |
|======================================================================================================================|
