Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |        3.85% |       3.7530 |       3.7399 |          0.0010 |
|      10 |          50 |       00:00:42 |       30.00% |              |       2.5815 |              |          0.0010 |
|      12 |          60 |       00:00:51 |       60.00% |       15.38% |       2.1643 |       3.1515 |          0.0001 |
|      20 |         100 |       00:01:26 |       40.00% |              |       2.1758 |              |          0.0001 |
|      24 |         120 |       00:01:43 |       65.00% |       19.23% |       1.8110 |       2.9954 |      1.0000e-05 |
|      30 |         150 |       00:02:08 |       50.00% |              |       2.0712 |              |      1.0000e-05 |
|      36 |         180 |       00:02:34 |       70.00% |       19.23% |       1.8459 |       2.9820 |      1.0000e-06 |
|      40 |         200 |       00:02:50 |       40.00% |              |       2.2038 |              |      1.0000e-06 |
|      48 |         240 |       00:03:24 |       60.00% |       15.38% |       1.8838 |       3.0787 |      1.0000e-07 |
|      50 |         250 |       00:03:32 |       60.00% |              |       1.9275 |              |      1.0000e-07 |
|      60 |         300 |       00:04:15 |       65.00% |       15.38% |       1.7904 |       3.0517 |      1.0000e-08 |
|      70 |         350 |       00:04:57 |       50.00% |              |       2.0629 |              |      1.0000e-09 |
|      72 |         360 |       00:05:06 |       55.00% |       19.23% |       1.8753 |       2.9810 |      1.0000e-10 |
|      80 |         400 |       00:05:41 |       75.00% |              |       1.7932 |              |      1.0000e-10 |
|      84 |         420 |       00:05:58 |       45.00% |       19.23% |       2.1533 |       2.9810 |      1.0000e-11 |
|      90 |         450 |       00:06:24 |       70.00% |              |       1.9367 |              |      1.0000e-11 |
|      96 |         480 |       00:06:50 |       40.00% |       15.38% |       2.1945 |       3.0487 |      1.0000e-12 |
|     100 |         500 |       00:07:08 |       30.00% |       19.23% |       2.4321 |       2.9810 |      1.0000e-12 |
|======================================================================================================================|
