Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        0.00% |        0.00% |       3.9808 |       3.7613 |          0.0010 |
|      10 |          50 |       00:00:42 |       55.00% |              |       2.2578 |              |          0.0010 |
|      12 |          60 |       00:00:51 |       50.00% |       19.23% |       2.1085 |       3.0768 |          0.0001 |
|      20 |         100 |       00:01:25 |       60.00% |              |       2.1468 |              |          0.0001 |
|      24 |         120 |       00:01:42 |       70.00% |       26.92% |       1.7903 |       2.9944 |      1.0000e-05 |
|      30 |         150 |       00:02:07 |       70.00% |              |       1.5894 |              |      1.0000e-05 |
|      36 |         180 |       00:02:33 |       55.00% |       23.08% |       1.9833 |       2.9775 |      1.0000e-06 |
|      40 |         200 |       00:02:50 |       55.00% |              |       1.9313 |              |      1.0000e-06 |
|      48 |         240 |       00:03:23 |       55.00% |       23.08% |       2.0171 |       2.9772 |      1.0000e-07 |
|      50 |         250 |       00:03:31 |       65.00% |              |       1.9356 |              |      1.0000e-07 |
|      60 |         300 |       00:04:14 |       80.00% |       26.92% |       1.5925 |       2.9732 |      1.0000e-08 |
|      70 |         350 |       00:04:55 |       75.00% |              |       1.6274 |              |      1.0000e-09 |
|      72 |         360 |       00:05:04 |       55.00% |       26.92% |       1.7922 |       2.9827 |      1.0000e-10 |
|      80 |         400 |       00:05:37 |       65.00% |              |       1.9749 |              |      1.0000e-10 |
|      84 |         420 |       00:05:54 |       65.00% |       26.92% |       1.8100 |       2.9019 |      1.0000e-11 |
|      90 |         450 |       00:06:19 |       70.00% |              |       1.6316 |              |      1.0000e-11 |
|      96 |         480 |       00:06:44 |       55.00% |       26.92% |       1.8774 |       2.9827 |      1.0000e-12 |
|     100 |         500 |       00:07:02 |       55.00% |       23.08% |       1.9256 |       2.9771 |      1.0000e-12 |
|======================================================================================================================|
