Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |        0.00% |       11.54% |       3.8081 |       3.7748 |          0.0010 |
|      10 |          50 |       00:00:44 |       50.00% |              |       2.4446 |              |          0.0010 |
|      12 |          60 |       00:00:54 |       50.00% |       19.23% |       2.2418 |       3.1216 |          0.0001 |
|      20 |         100 |       00:01:28 |       65.00% |              |       1.9399 |              |          0.0001 |
|      24 |         120 |       00:01:46 |       60.00% |       19.23% |       2.1014 |       3.0555 |      1.0000e-05 |
|      30 |         150 |       00:02:12 |       70.00% |              |       2.0726 |              |      1.0000e-05 |
|      36 |         180 |       00:02:39 |       45.00% |       19.23% |       2.4410 |       3.1513 |      1.0000e-06 |
|      40 |         200 |       00:02:56 |       60.00% |              |       2.0041 |              |      1.0000e-06 |
|      48 |         240 |       00:03:32 |       65.00% |       19.23% |       2.0287 |       3.0354 |      1.0000e-07 |
|      50 |         250 |       00:03:40 |       50.00% |              |       2.2887 |              |      1.0000e-07 |
|      60 |         300 |       00:04:24 |       50.00% |       19.23% |       2.2686 |       3.1308 |      1.0000e-08 |
|      70 |         350 |       00:05:08 |       75.00% |              |       1.9811 |              |      1.0000e-09 |
|      72 |         360 |       00:05:17 |       55.00% |       19.23% |       2.2029 |       3.1308 |      1.0000e-10 |
|      80 |         400 |       00:05:52 |       65.00% |              |       2.0286 |              |      1.0000e-10 |
|      84 |         420 |       00:06:10 |       45.00% |       19.23% |       2.1657 |       3.1490 |      1.0000e-11 |
|      90 |         450 |       00:06:36 |       60.00% |              |       2.0385 |              |      1.0000e-11 |
|      96 |         480 |       00:07:03 |       40.00% |       19.23% |       2.3652 |       3.0354 |      1.0000e-12 |
|     100 |         500 |       00:07:21 |       65.00% |       19.23% |       2.1715 |       3.1030 |      1.0000e-12 |
|======================================================================================================================|
