Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:00 |       12.50% |        0.00% |       2.0837 |       2.0861 |          0.0010 |
|       4 |          16 |       00:00:01 |       12.50% |       12.50% |       2.1268 |       2.1420 |          0.0010 |
|       8 |          32 |       00:00:03 |       37.50% |       25.00% |       1.8895 |       2.0124 |          0.0010 |
|      12 |          48 |       00:00:04 |       37.50% |       37.50% |       1.7264 |       2.0317 |          0.0001 |
|      13 |          50 |       00:00:04 |       75.00% |              |       0.9513 |              |          0.0001 |
|      16 |          64 |       00:00:05 |       50.00% |       50.00% |       1.4494 |       1.7521 |          0.0001 |
|      20 |          80 |       00:00:06 |       75.00% |       25.00% |       1.0661 |       1.9158 |          0.0001 |
|      24 |          96 |       00:00:08 |       62.50% |       25.00% |       1.3065 |       1.9268 |      1.0000e-05 |
|      25 |         100 |       00:00:08 |       62.50% |              |       1.0950 |              |      1.0000e-05 |
|      28 |         112 |       00:00:09 |       50.00% |       25.00% |       1.5999 |       1.9423 |      1.0000e-05 |
|      32 |         128 |       00:00:10 |       50.00% |       25.00% |       1.2366 |       1.9466 |      1.0000e-06 |
|      36 |         144 |       00:00:12 |       62.50% |       25.00% |       1.4772 |       1.9461 |      1.0000e-06 |
|      38 |         150 |       00:00:12 |       50.00% |              |       1.3560 |              |      1.0000e-06 |
|      40 |         160 |       00:00:13 |       62.50% |       25.00% |       1.4349 |       1.9475 |      1.0000e-06 |
|      44 |         176 |       00:00:14 |       75.00% |       25.00% |       0.8701 |       1.9477 |      1.0000e-07 |
|      48 |         192 |       00:00:16 |       50.00% |       25.00% |       1.3175 |       1.9478 |      1.0000e-07 |
|      50 |         200 |       00:00:16 |       75.00% |              |       1.1205 |              |      1.0000e-07 |
|      52 |         208 |       00:00:17 |       37.50% |       25.00% |       1.5562 |       1.9479 |      1.0000e-08 |
|      56 |         224 |       00:00:18 |       75.00% |       25.00% |       0.9463 |       1.9479 |      1.0000e-08 |
|      60 |         240 |       00:00:20 |       50.00% |       25.00% |       1.3843 |       1.9480 |      1.0000e-08 |
|      63 |         250 |       00:00:20 |       37.50% |              |       1.1258 |              |      1.0000e-09 |
|      64 |         256 |       00:00:21 |       50.00% |       25.00% |       1.7405 |       1.9480 |      1.0000e-09 |
|      68 |         272 |       00:00:22 |       37.50% |       25.00% |       1.2903 |       1.9480 |      1.0000e-09 |
|      72 |         288 |       00:00:23 |       50.00% |       25.00% |       1.2079 |       1.9480 |      1.0000e-10 |
|      75 |         300 |       00:00:24 |       75.00% |              |       0.9533 |              |      1.0000e-10 |
|      76 |         304 |       00:00:25 |       50.00% |       25.00% |       1.1810 |       1.9480 |      1.0000e-10 |
|      80 |         320 |       00:00:26 |       62.50% |       25.00% |       0.9882 |       1.9480 |      1.0000e-10 |
|      84 |         336 |       00:00:27 |       50.00% |       25.00% |       1.3624 |       1.9480 |      1.0000e-11 |
|      88 |         350 |       00:00:28 |       37.50% |              |       1.8446 |              |      1.0000e-11 |
|      88 |         352 |       00:00:29 |       75.00% |       25.00% |       1.0950 |       1.9480 |      1.0000e-11 |
|      92 |         368 |       00:00:30 |       12.50% |       25.00% |       1.8509 |       1.9480 |      1.0000e-12 |
|      96 |         384 |       00:00:31 |       25.00% |       25.00% |       1.4858 |       1.9480 |      1.0000e-12 |
|     100 |         400 |       00:00:32 |       37.50% |       25.00% |       1.7273 |       1.9480 |      1.0000e-12 |
|======================================================================================================================|
